genome	group	Axis1	Axis2
GCF_025460705.1	non_saline	0.06980172900727073	0.029945890491547972
GCF_013342875.1	non_saline	0.06980172900727073	0.029945890491547972
GCF_018530835.1	non_saline	0.06980172900727073	0.029945890491547975
GCF_905310995.2	non_saline	0.06980172900727075	0.029945890491547965
GCF_030643845.1	non_saline	0.10974868569793972	0.04929754576515653
GCF_035822435.1	non_saline	0.06980172900727075	0.029945890491547972
GCF_029916985.1	non_saline	0.06980172900727075	0.029945890491547972
GCF_035822295.1	non_saline	0.06980172900727077	0.029945890491547975
GCF_004116955.1	non_saline	0.06980172900727077	0.02994589049154795
GCF_003441635.1	non_saline	0.10277972392598136	-0.05391270778863677
GCF_002005345.1	non_saline	0.08473847054649271	-0.03702766055192843
GCF_045344285.1	non_saline	0.10277972392598136	-0.05391270778863675
GCF_021892375.1	non_saline	0.06980172900727075	0.02994589049154793
GCF_037889395.1	non_saline	0.10277972392598138	-0.05391270778863674
GCF_044905085.1	non_saline	0.08473847054649274	-0.03702766055192843
GCF_049354995.1	non_saline	0.08473847054649274	-0.03702766055192844
GCF_024919095.1	non_saline	0.0886473122176568	0.020738459084473932
GCF_002117165.1	non_saline	0.06980172900727077	0.029945890491547937
GCF_054889405.1	non_saline	0.0698017290072708	0.029945890491547947
GCF_054187945.1	non_saline	0.06980172900727077	0.029945890491547986
GCF_051131645.1	non_saline	0.08473847054649271	-0.03702766055192836
GCF_054966515.1	non_saline	0.06980172900727077	0.02994589049154798
