genome	protein_id	ko	evalue	score
GCF_001742425.1	WP_069717498.1	K03833	1.9e-133	444.6
GCF_001742425.1	WP_069717892.1	K04103	4.2e-65	218.0
GCF_001742425.1	WP_069715415.1	K06390	4.1e-130	431.8
GCF_001742425.1	WP_069718148.1	K07636	4.1e-125	416.3
GCF_001742425.1	WP_069716429.1	K07657	9.9e-85	282.4
GCF_001742425.1	WP_069717560.1	K16531	1.9e-27	93.8
GCF_001969855.1	WP_076790600.1	K00366	4.3e-86	287.7
GCF_001969855.1	WP_076791816.1	K00372	3.7e-277	920.1
GCF_001969855.1	WP_076793449.1	K01077	8.2e-101	336.7
GCF_001969855.1	WP_043926096.1	K01113	4.2e-168	559.2
GCF_001969855.1	WP_076792612.1	K01505	1.4e-15	54.9
GCF_001969855.1	WP_076791218.1	K01915	1.4e-108	362.3
GCF_001969855.1	WP_076788740.1	K02406	1.3e-133	444.8
GCF_001969855.1	WP_076791151.1	K02556	8.5e-94	312.8
GCF_001969855.1	WP_043927393.1	K02557	1.4e-73	246.6
GCF_001969855.1	WP_043926388.1	K03407	3.6e-224	744.5
GCF_001969855.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_001969855.1	WP_043925504.1	K03833	6.5e-79	264.4
GCF_001969855.1	WP_043926314.1	K04103	2.5e-68	228.9
GCF_001969855.1	WP_043927852.1	K06390	8.6e-131	434.3
GCF_001969855.1	WP_076793208.1	K07636	1.1e-123	411.8
GCF_001969855.1	WP_043928422.1	K07657	8.3e-83	276.3
GCF_001969855.1	WP_076792600.1	K16531	6.8e-21	72.4
GCF_002005345.1	WP_052827842.1	K00366	2.1e-83	278.7
GCF_002005345.1	WP_077722085.1	K00372	2.2e-182	606.3
GCF_002005345.1	WP_077721994.1	K01077	3.5e-111	370.8
GCF_002005345.1	WP_077721748.1	K01113	4.1e-168	559.1
GCF_002005345.1	WP_077722521.1	K01505	9.2e-16	55.4
GCF_002005345.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_002005345.1	WP_015387631.1	K02406	8.6e-139	461.8
GCF_002005345.1	WP_003152386.1	K02556	5.9e-97	323.1
GCF_002005345.1	WP_077722131.1	K02557	2e-72	242.6
GCF_002005345.1	WP_077722200.1	K03407	1.1e-225	749.4
GCF_002005345.1	WP_003154238.1	K03413	1.3e-47	160.8
GCF_002005345.1	WP_003156451.1	K03833	3.1e-79	265.3
GCF_002005345.1	WP_077721822.1	K04103	4.3e-72	241.2
GCF_002005345.1	WP_077722588.1	K06390	1.9e-131	436.4
GCF_002005345.1	WP_077722689.1	K07636	5.9e-126	419.2
GCF_002005345.1	WP_003153397.1	K07657	1.5e-83	278.7
GCF_002005345.1	WP_088005508.1	K16531	3.6e-17	60.0
GCF_002024555.1	WP_015387719.1	K00366	1.1e-83	279.6
GCF_002024555.1	WP_079004805.1	K00372	7.2e-183	607.9
GCF_002024555.1	WP_003155322.1	K01077	1.3e-110	368.9
GCF_002024555.1	WP_014304274.1	K01113	1.6e-167	557.1
GCF_002024555.1	WP_014305305.1	K01505	1e-15	55.1
GCF_002024555.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_002024555.1	WP_079004915.1	K02406	3e-138	460.0
GCF_002024555.1	WP_003152386.1	K02556	5.7e-97	323.1
GCF_002024555.1	WP_003154685.1	K02557	1.9e-72	242.6
GCF_002024555.1	WP_003154227.1	K03407	1.1e-225	749.3
GCF_002024555.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_002024555.1	WP_003156451.1	K03833	3e-79	265.3
GCF_002024555.1	WP_024084902.1	K04103	3.7e-72	241.4
GCF_002024555.1	WP_003153125.1	K06390	1e-130	433.9
GCF_002024555.1	WP_003152458.1	K07636	5.3e-126	419.3
GCF_002024555.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_002024555.1	WP_088005508.1	K16531	3.5e-17	60.0
GCF_002026335.1	WP_020450993.1	K00366	2.9e-85	284.9
GCF_002026335.1	WP_079289311.1	K00372	1.2e-277	921.6
GCF_002026335.1	WP_020452100.1	K01077	5.7e-101	337.1
GCF_002026335.1	WP_023857756.1	K01113	1.2e-167	557.5
GCF_002026335.1	WP_023857444.1	K01505	1.7e-16	57.8
GCF_002026335.1	WP_025811550.1	K01915	1.5e-108	362.2
GCF_002026335.1	WP_079289484.1	K02406	1e-24	85.5
GCF_002026335.1	WP_020452604.1	K02556	4.4e-95	317.0
GCF_002026335.1	WP_020451148.1	K02557	8e-73	243.9
GCF_002026335.1	WP_079289133.1	K03407	1.3e-223	742.6
GCF_002026335.1	WP_003181796.1	K03413	2.3e-46	156.7
GCF_002026335.1	WP_020449857.1	K03833	5.6e-79	264.5
GCF_002026335.1	WP_020450230.1	K04103	4.3e-68	228.0
GCF_002026335.1	WP_020452146.1	K06390	2.9e-131	435.8
GCF_002026335.1	WP_035338186.1	K07636	1.1e-123	411.8
GCF_002026335.1	WP_020451999.1	K07657	4.1e-83	277.2
GCF_002026335.1	WP_023857438.1	K16531	5.6e-21	72.6
GCF_002068155.1	WP_020450993.1	K00366	3e-85	284.9
GCF_002068155.1	WP_025810124.1	K00372	3.5e-278	923.4
GCF_002068155.1	WP_020452100.1	K01077	6e-101	337.1
GCF_002068155.1	WP_020449993.1	K01113	7.5e-168	558.3
GCF_002068155.1	WP_023857444.1	K01505	1.8e-16	57.8
GCF_002068155.1	WP_025811550.1	K01915	1.5e-108	362.2
GCF_002068155.1	WP_020453106.1	K02406	5.9e-128	426.1
GCF_002068155.1	WP_020452604.1	K02556	4.6e-95	317.0
GCF_002068155.1	WP_020451148.1	K02557	8.4e-73	243.9
GCF_002068155.1	WP_026579733.1	K03407	6.6e-224	743.6
GCF_002068155.1	WP_003181796.1	K03413	2.4e-46	156.7
GCF_002068155.1	WP_020449857.1	K03833	5.9e-79	264.5
GCF_002068155.1	WP_020450230.1	K04103	4.5e-68	228.0
GCF_002068155.1	WP_048349979.1	K06390	2.3e-130	432.9
GCF_002068155.1	WP_035338186.1	K07636	1.1e-123	411.8
GCF_002068155.1	WP_020451999.1	K07657	4.3e-83	277.2
GCF_002068155.1	WP_020451945.1	K16531	4.7e-21	72.9
GCF_002077215.1	WP_041117625.1	K00366	1.6e-86	289.0
GCF_002077215.1	WP_081124489.1	K00372	5.2e-273	906.1
GCF_002077215.1	WP_061109610.1	K01077	9.3e-106	352.8
GCF_002077215.1	WP_081124540.1	K01505	3.8e-15	53.2
GCF_002077215.1	WP_025093273.1	K01915	1.8e-108	361.8
GCF_002077215.1	WP_041116353.1	K02406	1.2e-131	438.1
GCF_002077215.1	WP_024424680.1	K02556	1e-92	309.1
GCF_002077215.1	WP_034281540.1	K02557	6.5e-70	234.3
GCF_002077215.1	WP_081124377.1	K03407	2.6e-224	744.7
GCF_002077215.1	WP_007499584.1	K03413	1.7e-47	160.3
GCF_002077215.1	WP_034283892.1	K03833	2.6e-79	265.5
GCF_002077215.1	WP_025092480.1	K04103	1.5e-71	239.3
GCF_002077215.1	WP_034280251.1	K06390	2.5e-131	435.9
GCF_002077215.1	WP_081124657.1	K07636	3.1e-123	410.2
GCF_002077215.1	WP_024426141.1	K07657	3.9e-84	280.5
GCF_002077215.1	WP_076840407.1	K16531	4.5e-30	102.5
GCF_002117165.1	WP_032876519.1	K00366	1.8e-83	278.9
GCF_002117165.1	WP_032872794.1	K00372	1e-276	918.4
GCF_002117165.1	WP_032874278.1	K01077	1.3e-111	372.1
GCF_002117165.1	WP_032872722.1	K01113	1.6e-167	557.0
GCF_002117165.1	WP_032873256.1	K01505	8e-16	55.5
GCF_002117165.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_002117165.1	WP_032876173.1	K02406	1.8e-138	460.6
GCF_002117165.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_002117165.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_002117165.1	WP_032874918.1	K03407	9.6e-226	749.5
GCF_002117165.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_002117165.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_002117165.1	WP_014304370.1	K04103	1.5e-72	242.6
GCF_002117165.1	WP_032874043.1	K06390	1.7e-130	433.2
GCF_002117165.1	WP_032873702.1	K07636	6.5e-126	419.0
GCF_002117165.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_002117165.1	WP_087920803.1	K16531	7.6e-18	62.1
GCF_002393225.1	WP_020450993.1	K00366	3.2e-85	284.9
GCF_002393225.1	WP_035337190.1	K00372	9.7e-278	922.0
GCF_002393225.1	WP_023857756.1	K01113	1.4e-167	557.5
GCF_002393225.1	WP_020451950.1	K01505	4.3e-16	56.6
GCF_002393225.1	WP_020451550.1	K01915	2.3e-108	361.7
GCF_002393225.1	WP_020453106.1	K02406	6.2e-128	426.1
GCF_002393225.1	WP_020452604.1	K02556	4.8e-95	317.0
GCF_002393225.1	WP_020451148.1	K02557	8.8e-73	243.9
GCF_002393225.1	WP_023857200.1	K03407	1.1e-223	742.9
GCF_002393225.1	WP_003181796.1	K03413	2.5e-46	156.7
GCF_002393225.1	WP_020449857.1	K03833	6.2e-79	264.5
GCF_002393225.1	WP_020450230.1	K04103	4.7e-68	228.0
GCF_002393225.1	WP_020452146.1	K06390	3.2e-131	435.8
GCF_002393225.1	WP_020452551.1	K07636	1.1e-123	411.9
GCF_002393225.1	WP_020451999.1	K07657	4.5e-83	277.2
GCF_002393225.1	WP_026579386.1	K16531	5.7e-21	72.7
GCF_002811125.1	WP_039075510.1	K00366	1.1e-85	286.2
GCF_002811125.1	WP_100741033.1	K00372	2.6e-186	619.3
GCF_002811125.1	WP_082022741.1	K01077	3.3e-117	390.7
GCF_002811125.1	WP_039075954.1	K01113	2.7e-166	553.1
GCF_002811125.1	WP_039074312.1	K01505	7.8e-15	52.3
GCF_002811125.1	WP_010328577.1	K01915	5.4e-108	360.3
GCF_002811125.1	WP_039075354.1	K02406	3.2e-132	440.1
GCF_002811125.1	WP_039074773.1	K02556	5.3e-96	319.9
GCF_002811125.1	WP_039073751.1	K02557	5.8e-71	237.8
GCF_002811125.1	WP_039073971.1	K03407	1.5e-225	748.9
GCF_002811125.1	WP_039073963.1	K03413	1.3e-46	157.5
GCF_002811125.1	WP_039076390.1	K03833	4.7e-79	264.7
GCF_002811125.1	WP_100741401.1	K04103	6.6e-70	233.9
GCF_002811125.1	WP_100740140.1	K06390	1.6e-133	443.2
GCF_002811125.1	WP_100740516.1	K07636	2.5e-127	423.7
GCF_002811125.1	WP_039074346.1	K07657	2.1e-83	278.1
GCF_002811125.1	WP_100740216.1	K16531	2.6e-19	67.0
GCF_002966955.1	WP_003180762.1	K00366	6.1e-86	287.2
GCF_002966955.1	WP_016885148.1	K00372	9e-278	922.1
GCF_002966955.1	WP_003183293.1	K01077	8.6e-102	339.9
GCF_002966955.1	WP_003178586.1	K01113	2e-168	560.2
GCF_002966955.1	WP_003182974.1	K01505	6.1e-16	56.1
GCF_002966955.1	WP_003182145.1	K01915	1.5e-108	362.3
GCF_002966955.1	WP_003185695.1	K02406	3.1e-132	440.3
GCF_002966955.1	WP_009329389.1	K02556	2.2e-94	314.7
GCF_002966955.1	WP_003181091.1	K02557	2.7e-73	245.5
GCF_002966955.1	WP_016885474.1	K03407	1.2e-224	746.1
GCF_002966955.1	WP_003181796.1	K03413	2.4e-46	156.7
GCF_002966955.1	WP_003178321.1	K03833	1.8e-79	266.2
GCF_002966955.1	WP_003182515.1	K03834	5.3e-12	43.3
GCF_002966955.1	WP_003184100.1	K04103	3.3e-68	228.5
GCF_002966955.1	WP_003183411.1	K06390	1.4e-130	433.6
GCF_002966955.1	WP_003184312.1	K07636	4.2e-124	413.2
GCF_002966955.1	WP_003183084.1	K07657	8e-83	276.3
GCF_002966955.1	WP_003182961.1	K16531	3.9e-21	73.2
GCF_002993945.1	WP_020450993.1	K00366	3.1e-85	284.9
GCF_002993945.1	WP_105979288.1	K00372	2.1e-277	920.9
GCF_002993945.1	WP_020452100.1	K01077	6.1e-101	337.1
GCF_002993945.1	WP_020449993.1	K01113	7.6e-168	558.3
GCF_002993945.1	WP_020451950.1	K01505	4.2e-16	56.6
GCF_002993945.1	WP_025811550.1	K01915	1.6e-108	362.2
GCF_002993945.1	WP_025810704.1	K02406	8.7e-134	445.4
GCF_002993945.1	WP_020452604.1	K02556	4.6e-95	317.0
GCF_002993945.1	WP_020451148.1	K02557	8.5e-73	243.9
GCF_002993945.1	WP_105978901.1	K03407	6.3e-224	743.6
GCF_002993945.1	WP_003181796.1	K03413	2.4e-46	156.7
GCF_002993945.1	WP_023855913.1	K03833	6.1e-79	264.4
GCF_002993945.1	WP_020450230.1	K04103	4.5e-68	228.0
GCF_002993945.1	WP_199792214.1	K06390	1.9e-131	436.4
GCF_002993945.1	WP_020452551.1	K07636	1e-123	411.9
GCF_002993945.1	WP_020451999.1	K07657	4.3e-83	277.2
GCF_002993945.1	WP_105980436.1	K16531	4e-21	73.1
GCF_003003575.1	WP_044159104.1	K00366	1.1e-84	282.9
GCF_003003575.1	WP_106294411.1	K00372	8.1e-188	624.2
GCF_003003575.1	WP_106295882.1	K01077	1.1e-115	385.6
GCF_003003575.1	WP_106293807.1	K01505	3.3e-15	53.5
GCF_003003575.1	WP_024121509.1	K01915	5.2e-107	357.0
GCF_003003575.1	WP_024123018.1	K02406	2.5e-128	427.2
GCF_003003575.1	WP_044153831.1	K02556	1.9e-95	318.1
GCF_003003575.1	WP_059292887.1	K02557	1.1e-71	240.0
GCF_003003575.1	WP_044155876.1	K03407	4e-226	750.7
GCF_003003575.1	WP_010334256.1	K03413	1.4e-47	160.6
GCF_003003575.1	WP_010332768.1	K03833	6.2e-79	264.2
GCF_003003575.1	WP_044154080.1	K04103	2.4e-68	228.7
GCF_003003575.1	WP_106293713.1	K06390	2.3e-134	445.9
GCF_003003575.1	WP_044153891.1	K07636	9.6e-126	418.4
GCF_003003575.1	WP_010334777.1	K07657	4e-83	277.1
GCF_003003575.1	WP_059336621.1	K16531	2e-18	64.1
GCF_003003625.1	WP_106272658.1	K00366	1.7e-84	282.4
GCF_003003625.1	WP_106273085.1	K00372	6.8e-273	905.8
GCF_003003625.1	WP_106272891.1	K01077	1.2e-112	375.6
GCF_003003625.1	WP_106273141.1	K01113	3.7e-164	546.0
GCF_003003625.1	WP_106271181.1	K01505	2.7e-13	47.2
GCF_003003625.1	WP_094232068.1	K01915	2.3e-108	361.5
GCF_003003625.1	WP_106272550.1	K02406	3.8e-127	423.4
GCF_003003625.1	WP_003327311.1	K02556	3.6e-93	310.6
GCF_003003625.1	WP_003327312.1	K02557	1.1e-72	243.4
GCF_003003625.1	WP_106271552.1	K03407	7.2e-222	736.7
GCF_003003625.1	WP_003328933.1	K03413	2.4e-47	159.9
GCF_003003625.1	WP_003328291.1	K03833	2.6e-79	265.5
GCF_003003625.1	WP_106272980.1	K04103	5.4e-69	230.9
GCF_003003625.1	WP_003325460.1	K06390	6.7e-133	441.1
GCF_003003625.1	WP_088117736.1	K07636	6.8e-123	409.1
GCF_003003625.1	WP_004429698.1	K07657	1e-83	279.1
GCF_003003625.1	WP_106271350.1	K16531	1.6e-18	64.4
GCF_003003645.1	WP_003326931.1	K00366	1.2e-83	279.6
GCF_003003645.1	WP_106360836.1	K00372	7.5e-275	912.4
GCF_003003645.1	WP_106360728.1	K01077	4.7e-113	377.1
GCF_003003645.1	WP_106360862.1	K01113	1.5e-163	544.1
GCF_003003645.1	WP_106360613.1	K01505	1.1e-13	48.6
GCF_003003645.1	WP_094232068.1	K01915	2.4e-108	361.5
GCF_003003645.1	WP_094232853.1	K02406	2.3e-127	424.2
GCF_003003645.1	WP_003327311.1	K02556	3.8e-93	310.6
GCF_003003645.1	WP_003327312.1	K02557	1.2e-72	243.4
GCF_003003645.1	WP_088117166.1	K03407	2.5e-221	735.0
GCF_003003645.1	WP_106359593.1	K03413	7.9e-48	161.6
GCF_003003645.1	WP_003328291.1	K03833	2.8e-79	265.5
GCF_003003645.1	WP_088116536.1	K04103	4.3e-70	234.6
GCF_003003645.1	WP_003325460.1	K06390	7.1e-133	441.1
GCF_003003645.1	WP_106360416.1	K07636	7.6e-123	409.0
GCF_003003645.1	WP_004429698.1	K07657	1.1e-83	279.1
GCF_003003645.1	WP_106046686.1	K16531	2.3e-18	64.0
GCF_003441635.1	WP_003151735.1	K00366	1.7e-83	279.0
GCF_003441635.1	WP_048367146.1	K00372	3.7e-183	608.8
GCF_003441635.1	WP_003155322.1	K01077	1.2e-110	368.9
GCF_003441635.1	WP_043866804.1	K01113	6.2e-168	558.4
GCF_003441635.1	WP_014305305.1	K01505	1e-15	55.1
GCF_003441635.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_003441635.1	WP_007407474.1	K02406	6.7e-138	458.8
GCF_003441635.1	WP_003152386.1	K02556	5.6e-97	323.1
GCF_003441635.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_003441635.1	WP_015388231.1	K03407	1.2e-225	749.2
GCF_003441635.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_003441635.1	WP_003156451.1	K03833	2.9e-79	265.3
GCF_003441635.1	WP_196479392.1	K03834	3.3e-20	70.1
GCF_003441635.1	WP_196479392.1	K03837	2.1e-170	564.8
GCF_003441635.1	WP_117614494.1	K04103	1.3e-72	242.8
GCF_003441635.1	WP_072588446.1	K06390	1.5e-130	433.3
GCF_003441635.1	WP_015387864.1	K07636	4.6e-126	419.5
GCF_003441635.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_003441635.1	WP_088005508.1	K16531	3.4e-17	60.0
GCF_003667745.1	WP_021494124.1	K00366	2.6e-83	278.4
GCF_003667745.1	WP_021494198.1	K00372	5.1e-277	919.5
GCF_003667745.1	WP_021494911.1	K01077	3.2e-111	371.0
GCF_003667745.1	WP_021495297.1	K01113	1.6e-167	557.2
GCF_003667745.1	WP_014418255.1	K01505	1.3e-15	54.9
GCF_003667745.1	WP_007410365.1	K01915	1.4e-108	362.2
GCF_003667745.1	WP_021494094.1	K02406	4.3e-139	462.8
GCF_003667745.1	WP_003152386.1	K02556	6e-97	323.1
GCF_003667745.1	WP_017417652.1	K02557	2.2e-72	242.5
GCF_003667745.1	WP_021493681.1	K03407	6.6e-225	746.8
GCF_003667745.1	WP_003154238.1	K03413	1.3e-47	160.8
GCF_003667745.1	WP_007410400.1	K03833	2.2e-79	265.8
GCF_003667745.1	WP_205600435.1	K03834	6.5e-20	69.3
GCF_003667745.1	WP_205600435.1	K03837	1.5e-170	565.4
GCF_003667745.1	WP_014304370.1	K04103	1.6e-72	242.6
GCF_003667745.1	WP_017418128.1	K06390	1.9e-130	433.1
GCF_003667745.1	WP_021494433.1	K07636	1.2e-125	418.2
GCF_003667745.1	WP_003153397.1	K07657	1.5e-83	278.7
GCF_003667745.1	WP_088461189.1	K16531	1.9e-17	60.9
GCF_004006435.1	WP_024122835.1	K00366	1e-84	283.1
GCF_004006435.1	WP_127696022.1	K00372	6.5e-279	925.8
GCF_004006435.1	WP_127695865.1	K01077	8.8e-116	386.0
GCF_004006435.1	WP_127696073.1	K01113	3.2e-164	546.3
GCF_004006435.1	WP_127696824.1	K01505	3e-15	53.7
GCF_004006435.1	WP_024121509.1	K01915	5.7e-107	357.0
GCF_004006435.1	WP_106019634.1	K02406	3.9e-129	430.0
GCF_004006435.1	WP_024122512.1	K02556	1.6e-95	318.4
GCF_004006435.1	WP_024121173.1	K02557	1.2e-71	240.0
GCF_004006435.1	WP_106020713.1	K03407	3.7e-226	750.9
GCF_004006435.1	WP_010334256.1	K03413	1.5e-47	160.6
GCF_004006435.1	WP_010332768.1	K03833	6.7e-79	264.2
GCF_004006435.1	WP_095714111.1	K04103	1.6e-70	236.0
GCF_004006435.1	WP_024122021.1	K06390	4.4e-134	445.0
GCF_004006435.1	WP_106020250.1	K07636	2.4e-125	417.2
GCF_004006435.1	WP_095713202.1	K07657	4.5e-83	277.1
GCF_004006435.1	WP_059336621.1	K16531	2.2e-18	64.1
GCF_004116955.1	WP_010330080.1	K00366	6e-85	283.9
GCF_004116955.1	WP_010331339.1	K00372	6.7e-282	935.7
GCF_004116955.1	WP_010331132.1	K01077	3.7e-117	390.7
GCF_004116955.1	WP_010331406.1	K01113	3.3e-166	552.9
GCF_004116955.1	WP_010330518.1	K01505	8.5e-15	52.3
GCF_004116955.1	WP_010328577.1	K01915	5.8e-108	360.3
GCF_004116955.1	WP_010328745.1	K02406	6e-127	422.8
GCF_004116955.1	WP_010329592.1	K02556	8.7e-96	319.3
GCF_004116955.1	WP_041952540.1	K02557	5.6e-71	237.9
GCF_004116955.1	WP_010331082.1	K03407	2.6e-225	748.2
GCF_004116955.1	WP_010331092.1	K03413	5.5e-47	158.8
GCF_004116955.1	WP_087991688.1	K03833	5.1e-79	264.7
GCF_004116955.1	WP_010331283.1	K04103	4.1e-70	234.7
GCF_004116955.1	WP_010328279.1	K06390	1.7e-133	443.1
GCF_004116955.1	WP_010329692.1	K07636	4.9e-127	422.9
GCF_004116955.1	WP_010328406.1	K07657	1.9e-83	278.4
GCF_004116955.1	WP_010330523.1	K16531	4.3e-20	69.7
GCF_004328925.1	WP_003243849.1	K00366	3.7e-84	281.3
GCF_004328925.1	WP_131227095.1	K00372	3e-279	927.0
GCF_004328925.1	WP_131227262.1	K01077	4.2e-113	377.2
GCF_004328925.1	WP_131227084.1	K01113	2.7e-165	549.8
GCF_004328925.1	WP_014480121.1	K01505	1e-14	52.0
GCF_004328925.1	WP_015252037.1	K01915	3.6e-107	357.7
GCF_004328925.1	WP_021480711.1	K02406	1.4e-126	421.6
GCF_004328925.1	WP_015714528.1	K02556	1.5e-94	315.2
GCF_004328925.1	WP_131227367.1	K02557	4.4e-72	241.6
GCF_004328925.1	WP_131227422.1	K03407	4e-225	747.6
GCF_004328925.1	WP_014476812.1	K03413	5.7e-48	162.1
GCF_004328925.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_004328925.1	WP_021481718.1	K04103	4.2e-71	238.0
GCF_004328925.1	WP_003230226.1	K06390	4.7e-132	438.4
GCF_004328925.1	WP_131227831.1	K07636	1.7e-125	417.8
GCF_004328925.1	WP_003246107.1	K07657	3.1e-84	280.9
GCF_004328925.1	WP_131227550.1	K16531	8.9e-20	68.7
GCF_004378445.1	WP_014418875.1	K00366	2.6e-83	278.3
GCF_004378445.1	WP_029973912.1	K00372	1.4e-276	918.0
GCF_004378445.1	WP_017417347.1	K01077	1.9e-111	371.6
GCF_004378445.1	WP_029973941.1	K01113	2.5e-168	559.7
