genome	protein_id	ko	evalue	score	threshold	score_minus_threshold
GCF_001457015.1	WP_008348273.1	K07692	4.8999999999999997e-113	374.3	267.17	107.13
GCF_001457015.1	WP_058213681.1	K19549	1e-224	743.5	689.47	54.02999999999997
GCF_001457015.1	WP_272870249.1	K19550	4.0000000000000004e-131	433.5	388.33	45.170000000000016
GCF_001457015.1	WP_008347057.1	K23188	3.3e-140	466.2	460.43	5.769999999999982
GCF_001642595.1	WP_016885148.1	K00372	8.7e-278	922.1	909.57	12.529999999999973
GCF_001642595.1	WP_003183293.1	K01077	8.3e-102	339.9	67.97	271.92999999999995
GCF_001642595.1	WP_003178586.1	K01113	2e-168	560.2	94.03	466.1700000000001
GCF_001642595.1	WP_003182145.1	K01915	1.4e-108	362.3	37.7	324.6
GCF_001642595.1	WP_003186508.1	K02013	1.1e-95	319.0	226.0	93.0
GCF_001642595.1	WP_003185150.1	K02016	9.100000000000001e-72	240.5	157.77	82.72999999999999
GCF_001642595.1	WP_043928725.1	K02036	1.3e-140	466.7	268.53	198.17
GCF_001642595.1	WP_003183532.1	K02037	1.3e-98	329.6	260.07	69.53000000000003
GCF_001642595.1	WP_003183530.1	K02038	8.3e-95	316.5	255.13	61.370000000000005
GCF_001642595.1	WP_003183534.1	K02040	3.3e-77	258.5	55.67	202.83
GCF_001642595.1	WP_003185695.1	K02406	3e-132	440.3	135.0	305.3
GCF_001642595.1	WP_009329389.1	K02556	2.2e-94	314.7	97.97	216.73
GCF_001642595.1	WP_003181091.1	K02557	2.7000000000000003e-73	245.5	144.87	100.63
GCF_001642595.1	WP_016885474.1	K03407	1.1e-224	746.1	509.2	236.90000000000003
GCF_001642595.1	WP_003181796.1	K03413	2.3999999999999997e-46	156.7	135.0	21.69999999999999
GCF_001642595.1	WP_003183411.1	K06390	1.4e-130	433.6	217.4	216.2
GCF_001642595.1	WP_003184312.1	K07636	4.1e-124	413.2	327.73	85.46999999999997
GCF_001642595.1	WP_003185730.1	K07692	2.3e-112	372.3	267.17	105.13
GCF_001742425.1	WP_069717186.1	K00366	2.2e-199	662.0	617.37	44.63
GCF_001742425.1	WP_069716900.1	K01077	1.1e-98	329.3	67.97	261.33000000000004
GCF_001742425.1	WP_069715884.1	K01915	1.7e-107	358.5	37.7	320.8
GCF_001742425.1	WP_069718227.1	K02013	1.5e-94	315.1	226.0	89.10000000000002
GCF_001742425.1	WP_069716424.1	K02015	8.3e-108	359.2	343.37	15.829999999999984
GCF_001742425.1	WP_069716425.1	K02016	7.2e-66	220.9	157.77	63.13
GCF_001742425.1	WP_069717092.1	K02036	1.3e-142	473.1	268.53	204.57000000000005
GCF_001742425.1	WP_069717094.1	K02037	9.5e-107	356.3	260.07	96.23000000000002
GCF_001742425.1	WP_069717093.1	K02038	1.1000000000000002e-111	372.1	255.13	116.97000000000004
GCF_001742425.1	WP_069717095.1	K02040	5.4000000000000005e-73	244.4	55.67	188.73
GCF_001742425.1	WP_069715986.1	K02406	2.8000000000000002e-117	390.7	135.0	255.7
GCF_001742425.1	WP_069718081.1	K02556	2.7e-99	330.7	97.97	232.73
GCF_001742425.1	WP_069718082.1	K02557	7.399999999999999e-75	250.5	144.87	105.63
GCF_001742425.1	WP_069718797.1	K03407	2.8000000000000003e-227	754.5	509.2	245.3
GCF_001742425.1	WP_069718788.1	K03413	5.6e-48	161.9	135.0	26.90000000000001
GCF_001742425.1	WP_069717498.1	K03833	1.9e-133	444.6	304.43	140.17000000000002
GCF_001742425.1	WP_069715415.1	K06390	4.1000000000000006e-130	431.8	217.4	214.4
GCF_001742425.1	WP_069718148.1	K07636	4.1000000000000003e-125	416.3	327.73	88.57
GCF_001742425.1	WP_069717729.1	K07692	5e-113	374.3	267.17	107.13
GCF_001969855.1	WP_076791816.1	K00372	3.7000000000000003e-277	920.1	909.57	10.529999999999973
GCF_001969855.1	WP_076793449.1	K01077	8.2e-101	336.7	67.97	268.73
GCF_001969855.1	WP_043926096.1	K01113	4.2000000000000003e-168	559.2	94.03	465.1700000000001
GCF_001969855.1	WP_076791218.1	K01915	1.4e-108	362.3	37.7	324.6
GCF_001969855.1	WP_043927248.1	K02013	7.499999999999999e-95	316.4	226.0	90.39999999999998
GCF_001969855.1	WP_043927203.1	K02016	1.7e-71	239.6	157.77	81.82999999999998
GCF_001969855.1	WP_043928725.1	K02036	1.3999999999999999e-140	466.7	268.53	198.17
GCF_001969855.1	WP_076791370.1	K02037	4.1000000000000004e-98	327.9	260.07	67.82999999999998
GCF_001969855.1	WP_076791368.1	K02038	2e-94	315.3	255.13	60.170000000000016
GCF_001969855.1	WP_076791373.1	K02040	6.3e-76	254.3	55.67	198.63
GCF_001969855.1	WP_076788740.1	K02406	1.3000000000000002e-133	444.8	135.0	309.8
GCF_001969855.1	WP_076791151.1	K02556	8.5e-94	312.8	97.97	214.83
GCF_001969855.1	WP_043927393.1	K02557	1.4e-73	246.6	144.87	101.73
GCF_001969855.1	WP_043926388.1	K03407	3.6000000000000005e-224	744.5	509.2	235.3
GCF_001969855.1	WP_003181796.1	K03413	2.5e-46	156.7	135.0	21.69999999999999
GCF_001969855.1	WP_043927852.1	K06390	8.6e-131	434.3	217.4	216.9
GCF_001969855.1	WP_076793208.1	K07636	1.1e-123	411.8	327.73	84.07
GCF_001969855.1	WP_003185730.1	K07692	2.4e-112	372.3	267.17	105.13
GCF_002005345.1	WP_003155800.1	K00004	2.1e-140	466.0	376.97	89.02999999999997
GCF_002005345.1	WP_077721994.1	K01077	3.5e-111	370.8	67.97	302.83000000000004
GCF_002005345.1	WP_077721748.1	K01113	4.1000000000000003e-168	559.1	94.03	465.0700000000001
GCF_002005345.1	WP_003154048.1	K01915	1.3000000000000001e-108	362.3	37.7	324.6
GCF_002005345.1	WP_077722119.1	K02013	9.300000000000001e-111	368.6	226.0	142.60000000000002
GCF_002005345.1	WP_077722821.1	K02015	2.2e-103	344.8	343.37	1.4300000000000068
GCF_002005345.1	WP_017418938.1	K02016	1.2e-68	230.2	157.77	72.42999999999998
GCF_002005345.1	WP_003153040.1	K02036	2.1e-137	456.0	268.53	187.47000000000003
GCF_002005345.1	WP_007612605.1	K02037	1.1e-97	326.5	260.07	66.43
GCF_002005345.1	WP_003153036.1	K02038	1e-90	303.0	255.13	47.870000000000005
GCF_002005345.1	WP_012117998.1	K02040	1.8e-76	256.0	55.67	200.33
GCF_002005345.1	WP_015387631.1	K02406	8.599999999999999e-139	461.8	135.0	326.8
GCF_002005345.1	WP_003152386.1	K02556	5.9e-97	323.1	97.97	225.13
GCF_002005345.1	WP_077722131.1	K02557	2.0000000000000002e-72	242.6	144.87	97.73
GCF_002005345.1	WP_077722200.1	K03407	1.1e-225	749.4	509.2	240.2
GCF_002005345.1	WP_003154238.1	K03413	1.2999999999999998e-47	160.8	135.0	25.80000000000001
GCF_002005345.1	WP_077722588.1	K06390	1.9e-131	436.4	217.4	219.0
GCF_002005345.1	WP_077722689.1	K07636	5.9000000000000004e-126	419.2	327.73	91.46999999999996
GCF_002005345.1	WP_003219701.1	K07692	7.3e-113	373.9	267.17	106.72999999999996
GCF_002005345.1	WP_077723002.1	K19549	1.6e-251	831.9	689.47	142.42999999999995
GCF_002005345.1	WP_017418688.1	K19550	4.7999999999999996e-141	466.1	388.33	77.77000000000004
GCF_002005345.1	WP_077723003.1	K19552	3.2999999999999996e-257	850.7	730.4	120.30000000000008
GCF_002005345.1	WP_003151820.1	K23188	3.9e-143	476.0	460.43	15.569999999999991
GCF_002024555.1	WP_003155800.1	K00004	2e-140	466.0	376.97	89.02999999999997
GCF_002024555.1	WP_003155322.1	K01077	1.3000000000000001e-110	368.9	67.97	300.92999999999995
GCF_002024555.1	WP_014304274.1	K01113	1.6e-167	557.1	94.03	463.0700000000001
GCF_002024555.1	WP_003154048.1	K01915	1.3000000000000001e-108	362.3	37.7	324.6
GCF_002024555.1	WP_063174773.1	K02013	7.700000000000001e-111	368.9	226.0	142.89999999999998
GCF_002024555.1	WP_024085782.1	K02015	8.6e-104	346.1	343.37	2.730000000000018
GCF_002024555.1	WP_044052914.1	K02016	1.4999999999999998e-68	229.7	157.77	71.92999999999998
GCF_002024555.1	WP_003153040.1	K02036	2.1e-137	456.0	268.53	187.47000000000003
GCF_002024555.1	WP_003153034.1	K02037	9.2e-98	326.6	260.07	66.53000000000003
GCF_002024555.1	WP_003153036.1	K02038	1e-90	303.0	255.13	47.870000000000005
GCF_002024555.1	WP_012117998.1	K02040	1.7e-76	256.0	55.67	200.33
GCF_002024555.1	WP_079004915.1	K02406	3e-138	460.0	135.0	325.0
GCF_002024555.1	WP_003152386.1	K02556	5.7e-97	323.1	97.97	225.13
GCF_002024555.1	WP_003154685.1	K02557	1.9e-72	242.6	144.87	97.73
GCF_002024555.1	WP_003154227.1	K03407	1.1e-225	749.3	509.2	240.1
GCF_002024555.1	WP_003154238.1	K03413	1.2e-47	160.8	135.0	25.80000000000001
GCF_002024555.1	WP_003153125.1	K06390	9.999999999999999e-131	433.9	217.4	216.5
GCF_002024555.1	WP_003152458.1	K07636	5.3e-126	419.3	327.73	91.57
GCF_002024555.1	WP_003219701.1	K07692	7.1e-113	373.9	267.17	106.72999999999996
GCF_002024555.1	WP_052586859.1	K19549	2.3999999999999996e-251	831.2	689.47	141.73000000000002
GCF_002024555.1	WP_003151010.1	K19550	6.699999999999999e-141	465.6	388.33	77.27000000000004
GCF_002024555.1	WP_003151007.1	K19552	4.4999999999999995e-257	850.2	730.4	119.80000000000008
GCF_002024555.1	WP_003151820.1	K23188	3.8e-143	476.0	460.43	15.569999999999991
GCF_002026335.1	WP_079289311.1	K00372	1.2e-277	921.6	909.57	12.029999999999973
GCF_002026335.1	WP_020452100.1	K01077	5.7e-101	337.1	67.97	269.13
GCF_002026335.1	WP_023857756.1	K01113	1.2000000000000002e-167	557.5	94.03	463.47
GCF_002026335.1	WP_025811550.1	K01915	1.5e-108	362.2	37.7	324.5
GCF_002026335.1	WP_043054605.1	K02013	2.0999999999999998e-94	314.8	226.0	88.80000000000001
GCF_002026335.1	WP_041817314.1	K02016	2.2e-72	242.5	157.77	84.72999999999999
GCF_002026335.1	WP_023855209.1	K02036	2.5e-140	465.7	268.53	197.17
GCF_002026335.1	WP_003183532.1	K02037	1.2e-98	329.6	260.07	69.53000000000003
GCF_002026335.1	WP_023855211.1	K02038	1.1e-94	316.1	255.13	60.97000000000003
GCF_002026335.1	WP_023855212.1	K02040	1.2e-76	256.6	55.67	200.93
GCF_002026335.1	WP_020452604.1	K02556	4.4e-95	317.0	97.97	219.03
GCF_002026335.1	WP_020451148.1	K02557	8e-73	243.9	144.87	99.03
GCF_002026335.1	WP_079289133.1	K03407	1.3e-223	742.6	509.2	233.40000000000003
GCF_002026335.1	WP_003181796.1	K03413	2.3e-46	156.7	135.0	21.69999999999999
GCF_002026335.1	WP_020452146.1	K06390	2.9e-131	435.8	217.4	218.4
GCF_002026335.1	WP_035338186.1	K07636	1.1e-123	411.8	327.73	84.07
GCF_002026335.1	WP_003185730.1	K07692	2.1999999999999998e-112	372.3	267.17	105.13
GCF_002026335.1	WP_020452888.1	K23188	1.6e-138	460.8	460.43	0.3700000000000045
GCF_002068155.1	WP_025810124.1	K00372	3.5e-278	923.4	909.57	13.829999999999927
GCF_002068155.1	WP_020452100.1	K01077	6e-101	337.1	67.97	269.13
GCF_002068155.1	WP_020449993.1	K01113	7.5000000000000005e-168	558.3	94.03	464.27
GCF_002068155.1	WP_025811550.1	K01915	1.5e-108	362.2	37.7	324.5
GCF_002068155.1	WP_043054605.1	K02013	2.2e-94	314.8	226.0	88.80000000000001
GCF_002068155.1	WP_041817314.1	K02016	2.3e-72	242.5	157.77	84.72999999999999
GCF_002068155.1	WP_023855209.1	K02036	2.6e-140	465.7	268.53	197.17
GCF_002068155.1	WP_003183532.1	K02037	1.3e-98	329.6	260.07	69.53000000000003
GCF_002068155.1	WP_025811149.1	K02038	8.5e-95	316.5	255.13	61.370000000000005
GCF_002068155.1	WP_023855212.1	K02040	1.3e-76	256.6	55.67	200.93
GCF_002068155.1	WP_020453106.1	K02406	5.9e-128	426.1	135.0	291.1
GCF_002068155.1	WP_020452604.1	K02556	4.6e-95	317.0	97.97	219.03
GCF_002068155.1	WP_020451148.1	K02557	8.400000000000001e-73	243.9	144.87	99.03
GCF_002068155.1	WP_026579733.1	K03407	6.6e-224	743.6	509.2	234.40000000000003
GCF_002068155.1	WP_003181796.1	K03413	2.3999999999999997e-46	156.7	135.0	21.69999999999999
GCF_002068155.1	WP_048349979.1	K06390	2.3e-130	432.9	217.4	215.5
GCF_002068155.1	WP_035338186.1	K07636	1.1e-123	411.8	327.73	84.07
GCF_002068155.1	WP_003185730.1	K07692	2.3e-112	372.3	267.17	105.13
GCF_002068155.1	WP_020452888.1	K23188	1.7e-138	460.8	460.43	0.3700000000000045
GCF_002077215.1	WP_081124609.1	K00004	5.0999999999999996e-139	461.4	376.97	84.42999999999995
GCF_002077215.1	WP_061109610.1	K01077	9.3e-106	352.8	67.97	284.83000000000004
GCF_002077215.1	WP_025093273.1	K01915	1.8e-108	361.8	37.7	324.1
GCF_002077215.1	WP_081125195.1	K02013	3.1e-117	389.9	226.0	163.89999999999998
GCF_002077215.1	WP_041115703.1	K02015	4.3999999999999996e-107	356.9	343.37	13.529999999999973
GCF_002077215.1	WP_065215175.1	K02016	5.899999999999999e-68	227.8	157.77	70.03
GCF_002077215.1	WP_081124578.1	K02036	2.3999999999999998e-139	462.3	268.53	193.77000000000004
GCF_002077215.1	WP_081124580.1	K02037	1.1e-96	323.0	260.07	62.93000000000001
GCF_002077215.1	WP_081124579.1	K02038	4.1999999999999995e-95	317.4	255.13	62.26999999999998
GCF_002077215.1	WP_081124581.1	K02040	1.0999999999999999e-75	253.3	55.67	197.63
GCF_002077215.1	WP_041116353.1	K02406	1.2e-131	438.1	135.0	303.1
GCF_002077215.1	WP_024424680.1	K02556	1e-92	309.1	97.97	211.13
GCF_002077215.1	WP_034281540.1	K02557	6.499999999999999e-70	234.3	144.87	89.43
GCF_002077215.1	WP_081124377.1	K03407	2.6e-224	744.7	509.2	235.50000000000009
GCF_002077215.1	WP_007499584.1	K03413	1.6999999999999998e-47	160.3	135.0	25.30000000000001
GCF_002077215.1	WP_034280251.1	K06390	2.5e-131	435.9	217.4	218.5
GCF_002077215.1	WP_081124657.1	K07636	3.1e-123	410.2	327.73	82.46999999999997
GCF_002077215.1	WP_008348273.1	K07692	5e-113	374.3	267.17	107.13
GCF_002077215.1	WP_196797894.1	K19549	1.6e-227	752.8	689.47	63.32999999999993
GCF_002077215.1	WP_269466635.1	K19550	9.800000000000001e-133	438.8	388.33	50.47000000000003
GCF_002077215.1	WP_008347057.1	K23188	3.4e-140	466.2	460.43	5.769999999999982
GCF_002117165.1	WP_007408876.1	K00004	2.2e-140	465.9	376.97	88.92999999999995
GCF_002117165.1	WP_032872794.1	K00372	9.999999999999999e-277	918.4	909.57	8.829999999999927
GCF_002117165.1	WP_032874278.1	K01077	1.3000000000000001e-111	372.1	67.97	304.13
GCF_002117165.1	WP_032872722.1	K01113	1.6e-167	557.0	94.03	462.97
GCF_002117165.1	WP_007410365.1	K01915	1.3000000000000001e-108	362.2	37.7	324.5
GCF_002117165.1	WP_032874672.1	K02013	4.4000000000000005e-110	366.3	226.0	140.3
GCF_002117165.1	WP_032876563.1	K02015	7.9e-104	346.1	343.37	2.730000000000018
GCF_002117165.1	WP_032876560.1	K02016	3.3e-68	228.6	157.77	70.82999999999998
GCF_002117165.1	WP_032873997.1	K02036	1.5999999999999999e-137	456.3	268.53	187.77000000000004
GCF_002117165.1	WP_007612605.1	K02037	9.8e-98	326.5	260.07	66.43
GCF_002117165.1	WP_007408306.1	K02038	1.6999999999999999e-91	305.5	255.13	50.370000000000005
GCF_002117165.1	WP_007408304.1	K02040	1.1e-76	256.7	55.67	201.03
GCF_002117165.1	WP_032876173.1	K02406	1.7999999999999998e-138	460.6	135.0	325.6
GCF_002117165.1	WP_007408775.1	K02556	1.2999999999999999e-96	321.9	97.97	223.93
GCF_002117165.1	WP_003154685.1	K02557	1.8e-72	242.6	144.87	97.73
GCF_002117165.1	WP_032874918.1	K03407	9.6e-226	749.5	509.2	240.3
GCF_002117165.1	WP_003154238.1	K03413	1.2e-47	160.8	135.0	25.80000000000001
GCF_002117165.1	WP_032874043.1	K06390	1.7000000000000002e-130	433.2	217.4	215.8
GCF_002117165.1	WP_032873702.1	K07636	6.5e-126	419.0	327.73	91.26999999999998
GCF_002117165.1	WP_003219701.1	K07692	6.7e-113	373.9	267.17	106.72999999999996
GCF_002117165.1	WP_032875852.1	K19549	4.1e-252	833.7	689.47	144.23000000000002
GCF_002117165.1	WP_007407669.1	K19550	2.1e-141	467.2	388.33	78.87
GCF_002117165.1	WP_007407671.1	K19552	1.5e-257	851.7	730.4	121.30000000000008
GCF_002117165.1	WP_012118397.1	K23188	2.7e-143	476.4	460.43	15.96999999999997
GCF_002393225.1	WP_035337190.1	K00372	9.699999999999999e-278	922.0	909.57	12.42999999999995
GCF_002393225.1	WP_023857756.1	K01113	1.4000000000000001e-167	557.5	94.03	463.47
GCF_002393225.1	WP_020451550.1	K01915	2.3e-108	361.7	37.7	324.0
GCF_002393225.1	WP_043054605.1	K02013	2.4e-94	314.8	226.0	88.80000000000001
GCF_002393225.1	WP_075212665.1	K02016	2.4e-72	242.5	157.77	84.72999999999999
GCF_002393225.1	WP_023855209.1	K02036	2.7999999999999998e-140	465.7	268.53	197.17
GCF_002393225.1	WP_003183532.1	K02037	1.4000000000000001e-98	329.6	260.07	69.53000000000003
GCF_002393225.1	WP_025811149.1	K02038	9e-95	316.5	255.13	61.370000000000005
GCF_002393225.1	WP_023855212.1	K02040	1.3e-76	256.6	55.67	200.93
GCF_002393225.1	WP_020453106.1	K02406	6.2e-128	426.1	135.0	291.1
GCF_002393225.1	WP_020452604.1	K02556	4.7999999999999996e-95	317.0	97.97	219.03
GCF_002393225.1	WP_020451148.1	K02557	8.8e-73	243.9	144.87	99.03
GCF_002393225.1	WP_023857200.1	K03407	1.1e-223	742.9	509.2	233.7
GCF_002393225.1	WP_003181796.1	K03413	2.5e-46	156.7	135.0	21.69999999999999
GCF_002393225.1	WP_020452146.1	K06390	3.2e-131	435.8	217.4	218.4
GCF_002393225.1	WP_020452551.1	K07636	1.1e-123	411.9	327.73	84.16999999999996
GCF_002393225.1	WP_003185730.1	K07692	2.4e-112	372.3	267.17	105.13
GCF_002393225.1	WP_020452888.1	K23188	1.7999999999999998e-138	460.8	460.43	0.3700000000000045
GCF_002811125.1	WP_100740267.1	K00004	2.9e-139	462.2	376.97	85.22999999999996
GCF_002811125.1	WP_082022741.1	K01077	3.3e-117	390.7	67.97	322.73
GCF_002811125.1	WP_039075954.1	K01113	2.6999999999999998e-166	553.1	94.03	459.0700000000001
GCF_002811125.1	WP_010328577.1	K01915	5.4e-108	360.3	37.7	322.6
GCF_002811125.1	WP_100741562.1	K02013	7.5e-114	378.8	226.0	152.8
GCF_002811125.1	WP_100741160.1	K02015	4e-106	353.7	343.37	10.329999999999984
GCF_002811125.1	WP_039075534.1	K02016	2.7999999999999997e-68	228.9	157.77	71.13
GCF_002811125.1	WP_039074488.1	K02036	1.5e-141	469.6	268.53	201.07000000000005
GCF_002811125.1	WP_039074490.1	K02037	3.4000000000000003e-100	334.7	260.07	74.63
GCF_002811125.1	WP_010328221.1	K02038	4e-94	314.2	255.13	59.06999999999999
GCF_002811125.1	WP_039074558.1	K02040	4.2e-77	258.1	55.67	202.43
GCF_002811125.1	WP_039075354.1	K02406	3.2e-132	440.1	135.0	305.1
GCF_002811125.1	WP_039074773.1	K02556	5.299999999999999e-96	319.9	97.97	221.93
GCF_002811125.1	WP_039073751.1	K02557	5.8000000000000006e-71	237.8	144.87	92.93
GCF_002811125.1	WP_039073971.1	K03407	1.5e-225	748.9	509.2	239.7
GCF_002811125.1	WP_039073963.1	K03413	1.2999999999999999e-46	157.5	135.0	22.5
GCF_002811125.1	WP_100740140.1	K06390	1.6e-133	443.2	217.4	225.8
GCF_002811125.1	WP_100740516.1	K07636	2.5e-127	423.7	327.73	95.96999999999996
GCF_002811125.1	WP_003219701.1	K07692	7.1e-113	373.9	267.17	106.72999999999996
GCF_002811125.1	WP_039075146.1	K19549	1.1999999999999999e-247	819.1	689.47	129.63
GCF_002811125.1	WP_039075147.1	K19550	1.1999999999999999e-141	468.1	388.33	79.77000000000004
GCF_002811125.1	WP_039075145.1	K19552	9.9e-254	839.2	730.4	108.80000000000008
GCF_002811125.1	WP_082022707.1	K23188	8.5e-142	471.6	460.43	11.170000000000016
GCF_002966955.1	WP_016885148.1	K00372	9.000000000000001e-278	922.1	909.57	12.529999999999973
GCF_002966955.1	WP_003183293.1	K01077	8.6e-102	339.9	67.97	271.92999999999995
GCF_002966955.1	WP_003178586.1	K01113	2e-168	560.2	94.03	466.1700000000001
GCF_002966955.1	WP_003182145.1	K01915	1.5e-108	362.3	37.7	324.6
GCF_002966955.1	WP_003186508.1	K02013	1.1999999999999999e-95	319.0	226.0	93.0
GCF_002966955.1	WP_003185150.1	K02016	9.400000000000001e-72	240.5	157.77	82.72999999999999
GCF_002966955.1	WP_043928725.1	K02036	1.3999999999999999e-140	466.7	268.53	198.17
GCF_002966955.1	WP_003183532.1	K02037	1.3e-98	329.6	260.07	69.53000000000003
GCF_002966955.1	WP_003183530.1	K02038	8.6e-95	316.5	255.13	61.370000000000005
GCF_002966955.1	WP_003183534.1	K02040	3.4e-77	258.5	55.67	202.83
GCF_002966955.1	WP_003185695.1	K02406	3.1e-132	440.3	135.0	305.3
GCF_002966955.1	WP_009329389.1	K02556	2.2e-94	314.7	97.97	216.73
GCF_002966955.1	WP_003181091.1	K02557	2.7000000000000003e-73	245.5	144.87	100.63
GCF_002966955.1	WP_016885474.1	K03407	1.2e-224	746.1	509.2	236.90000000000003
GCF_002966955.1	WP_003181796.1	K03413	2.3999999999999997e-46	156.7	135.0	21.69999999999999
GCF_002966955.1	WP_003183411.1	K06390	1.4e-130	433.6	217.4	216.2
GCF_002966955.1	WP_003184312.1	K07636	4.2e-124	413.2	327.73	85.46999999999997
GCF_002966955.1	WP_003185730.1	K07692	2.3e-112	372.3	267.17	105.13
GCF_002993945.1	WP_105979288.1	K00372	2.1000000000000002e-277	920.9	909.57	11.329999999999927
