genome	Organism Name	species_clean	group	Assembly BioSample Isolation source	Assembly BioSample Geographic location	K01505	K04103	K21801	K11816	K11817	K01077	K01113	K07657	K07636	K00117	K02036	K02037	K02038	K02040	K03833	K03834	K03835	K03836	K03837	K02013	K02015	K02016	K23186	K23187	K23188	K01915	K00372	K00366	K16531	K06390	K02406	K02556	K02557	K03407	K03413	K07692	K19733	K00004	K19549	K19550	K19552
GCF_013347105.1	Bacillus halotolerans	Bacillus halotolerans	saline	saline-alkali rhizosphere soil of Androsace umbellata in Hoh Xil	China:Qinghai	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_014042035.1	Bacillus haynesii	Bacillus haynesii	saline	Saline-alkali environment	China: Kashgar	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_034427495.1	Bacillus inaquosorum	Bacillus inaquosorum	saline	coastal mudflats	China: Jiaozhou Bay	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_037201805.1	Bacillus kandeliae	Bacillus kandeliae	saline	marine sediment	China: Fujian	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0
GCF_000258125.2	Bacillus licheniformis WX-02	Bacillus licheniformis	saline	soil from Yingcheng Salt Mine	China: Hubei Province	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_002966955.1	Bacillus licheniformis	Bacillus licheniformis	saline	High-salt fermented soybean	South Korea: Suwon	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_014673515.1	Bacillus licheniformis	Bacillus licheniformis	saline	Crude salt from Camalti Saltern	Turkey: Izmir	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_017338795.1	Bacillus licheniformis	Bacillus licheniformis	saline	seawater	South Korea: 86, Jungnim 3-ro, Gwangdo-myeon, Tongyeong-si, Gyeongsangnam-do	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_022808645.1	Bacillus litorisediminis	Bacillus litorisediminis	saline	mangrove sediments	China	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_022808785.1	Bacillus litorisediminis	Bacillus litorisediminis	saline	mangrove sediments	China	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_041225435.1	Bacillus manliponensis	Bacillus manliponensis	saline	coastal soil	South Korea: Jeju	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_002026335.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	water-salt lake	Algeria: Ain Baida-Ouargla	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	1	1	1	1	1	0	0	0	0	0
GCF_002393225.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	Doejnang (High-salt fermented soybean)	South Korea: Suwon	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_002993945.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	Red Sea lagoons-Mangrove mud	Saudi Arabia:Rabigh harbor lagoon	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_035985545.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	Seawater sediment	China:Qingdao	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_002077215.1	Bacillus safensis	Bacillus safensis	saline	mangrove soil	Brazil: Paranagua	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_030717805.1	Bacillus pumilus	Bacillus pumilus	saline	salt spring sediment	USA:Kentucky	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_041431275.1	Bacillus pumilus	Bacillus pumilus	saline	Arctic surface microlayer seawater	Arctic Ocean:North of Greenland	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_001742425.1	Bacillus solimangrovi	Bacillus solimangrovi	saline		South Korea	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_052976745.1	Bacillus safensis	Bacillus safensis	saline	Deep seawater	China:Qingdao	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_055475255.1	Bacillus siamensis	Bacillus siamensis	saline	stem	China	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0
GCF_005234095.1	Bacillus subtilis	Bacillus subtilis	saline	seawater	China: Shanghai, The East China Sea	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_008831405.1	Bacillus subtilis	Bacillus subtilis	saline	Mangrove habitat samples	China: Chiu-lung River	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_024262185.1	Bacillus subtilis	Bacillus subtilis	saline	mangrove soil	Philippines: Palawan	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_025426155.1	Bacillus subtilis	Bacillus subtilis	saline	marine sediments	Pacific Ocean: Western Pacific Ocean	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_025837035.1	Bacillus subtilis	Bacillus subtilis	saline	marine sediment	Tanzania: Bagamoyo	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_052373815.1	Bacillus stercoris	Bacillus stercoris	saline	digestive tract of Litopenaeus vannamei (approximately 10 g in body weight), collected from a coastal pond	Indonesia: Sumatra, Suak, Lampung	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_004328925.1	Bacillus subtilis subsp. subtilis	Bacillus subtilis	saline	seawater samples were obtained by a Remotely Operated Vehicle (ROV) equipped on the KEXUE vessel during the cruise of April 2014; sample derived site was high hydrostatic pressure, low temperature, darkness, and close to hydrothermal vent field.	China: East China Sea	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_002811125.1	Bacillus vallismortis	Bacillus vallismortis	saline	saltern sediments	India: Tuticorin, Tamilnadu	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_003667745.1	Bacillus velezensis	Bacillus velezensis	saline	Red Sea lagoons-Mangrove Mud	Saudi Arabia:Rabigh harbor lagoon	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_004378445.1	Bacillus velezensis	Bacillus velezensis	saline	seawater	China: Haikou	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_013348705.1	Bacillus velezensis	Bacillus velezensis	saline	Phragmites communis rhizosphere in Keke Saltworks	China:Qinghai	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_014842935.1	Bacillus velezensis	Bacillus velezensis	saline	sea water	China: Xiamen	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_015732475.1	Bacillus velezensis	Bacillus velezensis	saline	sea water	Indian Ocean	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_016904925.1	Bacillus velezensis	Bacillus velezensis	saline	saltpan	Botswana: Makadikadi Basin	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_019285615.1	Bacillus velezensis	Bacillus velezensis	saline	mangrove sediments	China: Mangrove National Nature Reserve, Zhangjiangkou	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_020149955.1	Bacillus velezensis	Bacillus velezensis	saline	Doenjang, high-salt fermented soybean paste	South Korea	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_029691445.1	Bacillus velezensis	Bacillus velezensis	saline	Mangrove Sea	China:Qinzhou	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_030517005.1	Bacillus velezensis	Bacillus velezensis	saline		South Korea: Jeju island, Hamdeok beach	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_030517045.1	Bacillus velezensis	Bacillus velezensis	saline		South Korea: Jeju island, Hamdeok beach	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_045760535.1	Bacillus velezensis	Bacillus velezensis	saline	mangrove plants	China: Zhanjiang	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_052783145.1	Bacillus velezensis	Bacillus velezensis	saline	salt lake	China: Shanxi, Yuncheng	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_001191605.1	Bacillus altitudinis	Bacillus altitudinis	non_saline	soil	China	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_004563755.2	Bacillus altitudinis	Bacillus altitudinis	non_saline	rhizosphere soil	Malaysia: Cameron Highlan	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_019880425.1	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	non_saline	soil	USA:California	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_036209985.1	Bacillus atrophaeus	Bacillus atrophaeus	non_saline	soil	Israel: Evolution Canyon	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0
GCF_026793855.1	Bacillus atrophaeus	Bacillus atrophaeus	non_saline	soil	not collected	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0
GCF_056493705.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	soil	China: Xihe	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_033568485.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	soil	China: Inner Mongolia	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_040256795.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	rhizosphere	Morocco	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_001969855.1	Bacillus haynesii	Bacillus haynesii	non_saline	soil	Israel: Evolution canyon, arroyo at canyon bottom	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_026793695.1	Bacillus inaquosorum	Bacillus inaquosorum	non_saline	soil	not collected	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_035809815.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	soil	USA	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_036210315.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	soil	Israel: Evolution Canyon	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_001642595.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	soil	Czech Republic:Nerartovice	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_056504695.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	Alkaline soil	China: Wuhan	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_036210355.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	soil	Israel: Evolution Canyon	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_036210515.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	soil	Antarctica: Brown Bluff Island	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_002068155.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	rhizosphere	China: Shandong	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_036210525.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	soil	Antarctica: Paulet Island	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_026787105.1	Bacillus safensis	Bacillus safensis	non_saline	soil	India: Orissa	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0
GCF_030292035.1	Bacillus safensis	Bacillus safensis	non_saline	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0
GCF_056781025.1	Bacillus pumilus	Bacillus pumilus	non_saline		China	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_026787785.1	Bacillus pumilus	Bacillus pumilus	non_saline	soil	France: Col du Grand Saint Bernard	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_027497645.1	Bacillus siamensis	Bacillus siamensis	non_saline	soil	Guatemala: San Vicente Pacaya	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0
GCF_030273385.1	Bacillus subtilis	Bacillus subtilis	non_saline	rice garden soil	India: Jorhat, Assam	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_025460705.1	Bacillus subtilis	Bacillus subtilis	non_saline	petroleum contaminated soil	China: Maoming	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_013342875.1	Bacillus subtilis	Bacillus subtilis	non_saline	soil	China	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_018530835.1	Bacillus subtilis	Bacillus subtilis	non_saline	soil	China:Beijing, Haidian District, Zhongguancunnandajie, Chinese Agricultral of Academy Sciences	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_905310995.2	Bacillus subtilis	Bacillus subtilis	non_saline	community garden soil	United Kingdom	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_030643845.1	Bacillus subtilis	Bacillus subtilis	non_saline	Starch plant	China: Guangxi	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1
GCF_035822435.1	Bacillus subtilis	Bacillus subtilis	non_saline	soil	Canada	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_029916985.1	Bacillus subtilis subsp. subtilis	Bacillus subtilis	non_saline	soil	China:Wuhan	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_035822295.1	Bacillus stercoris	Bacillus stercoris	non_saline	soil	Trinidad and Tobago: Trinidad	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_004116955.1	Bacillus vallismortis	Bacillus vallismortis	non_saline	soil	USA	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_003441635.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	USA	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_002005345.1	Bacillus velezensis	Bacillus velezensis	non_saline	rice paddy soil	Korea: Goheung	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_045344285.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China: Hunan	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_021892375.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	Russia	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_037889395.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China: Guangdong, Zhanjiang	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_044905085.1	Bacillus velezensis	Bacillus velezensis	non_saline	rhizosphere soil	China: chongqing	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_049354995.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China: Guangxi Zhuang Autonomous Region	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_024919095.1	Bacillus velezensis	Bacillus velezensis	non_saline	Commercial plant nursery	Viet Nam: Da Lat	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_002117165.1	Bacillus velezensis	Bacillus velezensis	non_saline	rice rhizosphere soil	South Korea: Cheongwon	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_054889405.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil isolate	Brazil: Parana	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_054187945.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	China:Qinghai	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_051131645.1	Bacillus velezensis	Bacillus velezensis	non_saline	soil	Thailand	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_054966515.1	Bacillus velezensis	Bacillus velezensis	non_saline	rhizosphere soil	China: Gansu, Min County	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
