genome	K00366	K00372	K01077	K01113	K01505	K01915	K02406	K02556	K02557	K03407	K03413	K03833	K03834	K03837	K04103	K06390	K07636	K07657	K16531
GCF_013347105.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_013348705.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_014042035.1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_014673515.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_014842935.1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_015732475.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_016904925.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_017338795.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_018530835.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_019285615.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_019880425.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_020149955.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_021892375.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_022808645.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_022808785.1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_024262145.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_024262185.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_024919095.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_025426155.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_025460705.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_025837035.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_026787105.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_026787785.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_026793695.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_026793855.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_027497645.1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_027706145.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_029691445.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_029916985.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_030273385.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_030292035.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_030517005.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_030517045.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_030643845.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_030717805.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_033568485.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_034427495.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_035809815.1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_035822295.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_035822435.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_035985545.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_036209985.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_036210315.1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_036210355.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_036210515.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_036210525.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_037104725.1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1
GCF_037201805.1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_037889395.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_040256795.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_041225435.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_041431275.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_044905085.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_045344285.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_045760535.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_049354995.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_050908195.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_050908245.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_051131645.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_052373815.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_052783145.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_052976745.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_054187945.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_054889405.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_054966515.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_055475255.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_056493705.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_056504695.1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_056781025.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_905310995.2	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
