Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_037104745.1	Bacillus sp. FJAT-53060	Scaffold	current	2878761	91	SAMN39644994	marine sediment	China: Fujian		saline_candidate	marine sediment
GCF_054509685.1	Bacillus sp. C-3-6	Complete Genome	current	5753301	3	SAMN53628515	mangrove sediment	China: Zhangzhou, Jiulong River tributary		saline_candidate	mangrove
GCF_000465445.1	Bacillus sp. SB47	Scaffold	current	4468918	33	SAMN02469737	salt crystallizer of the Little Rann of Kutch	India: Gujarat		saline_candidate	salt
GCF_000465465.2	Bacillus sp. NSP9.1	Complete Genome	current	4543164	1	SAMN02469740	Salt crystallizer of the Great Rann of Kutch	India		saline_candidate	salt
GCF_000469135.2	Bacillus sp. SB49	Complete Genome	current	3765941	1	SAMN02469735	salt crystallizer	India: the Little Rann of Kutch, Gujarat		saline_candidate	salt
GCF_002998165.1	Bacillus sp. NMCN6	Scaffold	current	3641488	14	SAMN08633928	soil from salt lake	China: Tibet, Lake Namtso, Nagqu		saline_candidate	salt;salt lake
GCF_009759805.1	Bacillus sp. ms-22	Complete Genome	current	3629561	1	SAMN13519017	Mangrove habitat soil	China: Chiu-lung River		saline_candidate	mangrove
GCF_048285595.1	Bacillus sp. SBS7	Scaffold	current	5710970	87	SAMN46955696	University of Rhode Island Bay Campus Sea Water	USA:Rhode Island		saline_candidate	sea water
GCF_051623795.1	Bacillus sp. LMT	Complete Genome	current	3929863	1	SAMN35994700	mangrove soil	China:Fujian	not applicable	saline_candidate	mangrove
GCF_005234095.1	Bacillus subtilis	Complete Genome	current	4063004	1	SAMN11519450	seawater	China: Shanghai, The East China Sea		saline_candidate	seawater
GCF_008831405.1	Bacillus subtilis	Complete Genome	current	4126713	1	SAMN12669139	Mangrove habitat samples	China: Chiu-lung River		saline_candidate	mangrove
GCF_024262185.1	Bacillus subtilis	Scaffold	current	4229972	11	SAMN29198484	mangrove soil	Philippines: Palawan		saline_candidate	mangrove
GCF_025426155.1	Bacillus subtilis	Complete Genome	current	4030869	1	SAMN30914362	marine sediments	Pacific Ocean: Western Pacific Ocean		saline_candidate	marine sediment
GCF_025837035.1	Bacillus subtilis	Chromosome	current	4061384	15	SAMN31159204	marine sediment	Tanzania: Bagamoyo		saline_candidate	marine sediment
GCF_052373815.1	Bacillus stercoris	Scaffold	current	4234980	22	SAMN50765508	digestive tract of Litopenaeus vannamei (approximately 10 g in body weight), collected from a coastal pond	Indonesia: Sumatra, Suak, Lampung	Penaeus vannamei	saline_candidate	coastal
GCF_050908195.1	Bacillus subtilis	Complete Genome	current	4143087	1	SAMN48800047	bottom sediment samples (0-5 cm depth) from the lower Don River	Russia:near the Southern Scientific Centre RAS coastal research base		saline_candidate	coastal
GCF_050908245.1	Bacillus subtilis	Complete Genome	current	4143098	1	SAMN48800046	bottom sediment samples (0-5 cm depth) from the lower Don River	Russia:near the Southern Scientific Centre RAS coastal research base		saline_candidate	coastal
GCF_004328925.1	Bacillus subtilis subsp. subtilis	Complete Genome	current	4216133	1	SAMN09273200	seawater samples were obtained by a Remotely Operated Vehicle (ROV) equipped on the KEXUE vessel during the cruise of April 2014; sample derived site was high hydrostatic pressure, low temperature, darkness, and close to hydrothermal vent field.	China: East China Sea	missing	saline_candidate	seawater
GCF_002811125.1	Bacillus vallismortis	Scaffold	current	3912114	46	SAMN07692404	saltern sediments	India: Tuticorin, Tamilnadu		saline_candidate	salt;saltern
GCF_003667745.1	Bacillus velezensis	Complete Genome	current	4234898	2	SAMN10146799	Red Sea lagoons-Mangrove Mud	Saudi Arabia:Rabigh harbor lagoon		saline_candidate	mangrove
GCF_004378445.1	Bacillus velezensis	Scaffold	current	3986840	38	SAMN11157971	seawater	China: Haikou		saline_candidate	seawater
GCF_013348705.1	Bacillus velezensis	Complete Genome	current	3922134	1	SAMN15205599	Phragmites communis rhizosphere in Keke Saltworks	China:Qinghai		saline_candidate	salt
GCF_014842935.1	Bacillus velezensis	Scaffold	current	3932777	71	SAMN16277191	sea water	China: Xiamen		saline_candidate	sea water
GCF_015732475.1	Bacillus velezensis	Complete Genome	current	4178550	3	SAMN16207084	sea water	Indian Ocean		saline_candidate	sea water
GCF_016904925.1	Bacillus velezensis	Complete Genome	current	4131713	2	SAMN17825431	saltpan	Botswana: Makadikadi Basin		saline_candidate	salt
GCF_019285615.1	Bacillus velezensis	Complete Genome	current	4279775	4	SAMN20058722	mangrove sediments	China: Mangrove National Nature Reserve, Zhangjiangkou		saline_candidate	mangrove
GCF_020149955.1	Bacillus velezensis	Complete Genome	current	4157945	1	SAMN21448512	Doenjang, high-salt fermented soybean paste	South Korea		saline_candidate	salt
GCF_029691445.1	Bacillus velezensis	Complete Genome	current	3976514	1	SAMN34073820	Mangrove Sea	China:Qinzhou		saline_candidate	mangrove
GCF_030517005.1	Bacillus velezensis	Complete Genome	current	3929791	1	SAMN29325373		South Korea: Jeju island, Hamdeok beach	Seawater	saline_candidate	seawater
GCF_030517045.1	Bacillus velezensis	Complete Genome	current	3929788	1	SAMN29325374		South Korea: Jeju island, Hamdeok beach	Seawater	saline_candidate	seawater
GCF_045760535.1	Bacillus velezensis	Scaffold	current	3954070	13	SAMN44597093	mangrove plants	China: Zhanjiang		saline_candidate	mangrove
GCF_052783145.1	Bacillus velezensis	Complete Genome	current	3945352	1	SAMN51286908	salt lake	China: Shanxi, Yuncheng		saline_candidate	salt;salt lake
