Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_001431145.1	Bacillus altitudinis	Complete Genome	current	3793419	1	SAMN03940121	soil	China: Nanjing		non_saline_candidate	
GCF_001431285.1	Bacillus amyloliquefaciens	Scaffold	current	3978182	68	SAMN04009787	rhizosphere	India: Telangana State		non_saline_candidate	
GCF_001431785.1	Bacillus altitudinis	Complete Genome	current	3787818	1	SAMN04009761	soil	China:Zhongshan moutain Nanjing		non_saline_candidate	
GCF_001457015.1	Bacillus altitudinis	Scaffold	current	3615064	26	SAMN04263913	marine sediment	India: Chora Island		saline_candidate	marine sediment
GCF_001469685.1	Bacillus amyloliquefaciens	Contig	current	4089321	48	SAMN04217165	lobster sauces	China: Nanchang		uncertain	
GCF_001483885.1	Bacillus amyloliquefaciens	Complete Genome	current	3979925	2	SAMN04244584	Korean traditional alcoholic beverage	South Korea		uncertain	
GCF_001543165.1	Bacillus altitudinis	Chromosome	current	3745118	177	SAMN04230746		India	Not applicable	uncertain	
GCF_001548215.1	Bacillus altitudinis	Complete Genome	current	3723433	1	SAMD00032095		Japan:Tokyo, Fuchu	Oryza sativa	uncertain	
GCF_001558705.1	Bacillus amyloliquefaciens	Scaffold	current	4023658	187	SAMN04296795	marine	China: Dalian		uncertain	
GCF_001586105.1	Bacillus amyloliquefaciens	Complete Genome	current	3935930	2	SAMN04275172	soil	Democratic Republic of the Congo: Iturie province	plant	non_saline_candidate	
GCF_001587325.1	Bacillus amyloliquefaciens	Scaffold	current	4014254	75	SAMN03267280	cereals	Netherlands		uncertain	
GCF_001587435.1	Bacillus amyloliquefaciens	Scaffold	current	3968204	54	SAMN03267281	cereals	Netherlands		uncertain	
GCF_001596755.1	Bacillus amyloliquefaciens	Complete Genome	current	4006754	1	SAMN04555582	grape skin	China:Xinjiang	grape	uncertain	
GCF_001617995.1	Bacillus amyloliquefaciens	Contig	current	3958833	16	SAMN04226371	lucerne leaf	Australia: Gatton, QLD	lucerne	uncertain	
GCF_001619745.1	Bacillus amyloliquefaciens	Contig	current	3886645	43	SAMN04387725	Ulu Slim Hot Spring	Malaysia: Perak		uncertain	
GCF_001672615.1	Bacillus amyloliquefaciens	Contig	current	3765359	26	SAMN05162510	Kochujang	South Korea		uncertain	
GCF_001687185.1	Bacillus amyloliquefaciens	Contig	current	3962751	36	SAMN05185288	Kochujang	South Korea		uncertain	
GCF_001700735.1	Bacillus altitudinis	Complete Genome	current	3792999	1	SAMN03965497	soil	China: Zhongshan Moutain, Nanjing		non_saline_candidate	
GCF_001705195.1	Bacillus amyloliquefaciens	Complete Genome	current	3688209	1	SAMN05520945	fermented soybean paste	South Korea		uncertain	
GCF_001866745.1	Bacillus amyloliquefaciens	Contig	current	3926774	16	SAMN05920291	rhizophere soil of mangrove	Thailand: Bankajao, Samut Prakan		saline_candidate	mangrove
GCF_001874385.1	Bacillus amyloliquefaciens	Complete Genome	current	3957164	1	SAMN05969227	rhizosphere of peanut	China: Linyi, Shandong		non_saline_candidate	
GCF_001884185.1	Bacillus albus	Contig	current	5806239	142	SAMN05231551	sediments	China: South China Sea		uncertain	
GCF_001889285.1	Bacillus amyloliquefaciens	Complete Genome	current	3989393	1	SAMN06043296		China: Qinghai-Tibetan Plateau		uncertain	
GCF_001896335.1	Bacillus altitudinis	Contig	current	3747257	54	SAMN05560546		USA:Yellowstone National Park, WY		uncertain	
GCF_001908475.1	Bacillus altitudinis	Complete Genome	current	3740896	2	SAMN06106541		China: Henan	grape	uncertain	
GCF_001922005.1	Bacillus amyloliquefaciens	Complete Genome	current	3929787	1	SAMN06051297		China: Baoding		uncertain	
GCF_002024555.1	Bacillus amyloliquefaciens	Scaffold	current	4016659	19	SAMN06190352	salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake
GCF_002042895.1	Bacillus altitudinis	Contig	current	3692443	113	SAMN05726035	missing	Southern Ocean: Indian Sector		uncertain	
GCF_002173635.1	Bacillus amyloliquefaciens	Complete Genome	current	4088240	2	SAMN07125918	food	South Korea		exclude_review	food
GCF_002209305.1	Bacillus amyloliquefaciens	Complete Genome	current	3897521	1	SAMN03459122	daqu	China: Maotai, Renhuai		uncertain	
GCF_002443015.2	Bacillus altitudinis	Complete Genome	current	3844795	2	SAMN07311132	air	Singapore		uncertain	
GCF_002571755.1	Bacillus altitudinis	Contig	current	3696995	53	SAMN07598260	plant	USA: NC		non_saline_candidate	
GCF_002741745.1	Bacillus altitudinis	Complete Genome	current	3765752	1	SAMN07811392	rhizosphere of rice from organic rice farming	Indonesia: Central Java, Semarang, Banyubiru		non_saline_candidate	
GCF_002753875.2	Bacillus altitudinis	Contig	current	3738419	35	SAMN07962158	sediments	Russia: Lake Krotovaya Lyaga, Novosibirsk region		uncertain	
GCF_002797105.1	Bacillus altitudinis	Contig	current	3739340	33	SAMN07961733	Water sample and microbial mat on an anthropogenic pipe from caldera Uzon	Russia: Kamchatka		uncertain	
GCF_002797415.1	Bacillus alkalisoli	Scaffold	current	3897731	7	SAMN07212112	soil	China		non_saline_candidate	
GCF_002864145.1	Bacillus amyloliquefaciens	Contig	current	3855530	54	SAMN06205151		Portugal	Vitis vinifera	uncertain	
GCF_003049175.1	Bacillus altitudinis	Contig	current	3714673	85	SAMN08874682	refinery	India: Assam, Digboi	Soil	non_saline_candidate	
GCF_003064485.1	Bacillus altitudinis	Contig	current	3628062	69	SAMN08813168	leaf	India:Manipur	Black rice	uncertain	
GCF_003149695.1	Bacillus amyloliquefaciens	Complete Genome	current	4046611	1	SAMN08984034	Almond drupe	USA: Chico, California		uncertain	
GCF_003149715.1	Bacillus amyloliquefaciens	Complete Genome	current	4041665	1	SAMN08978284	Alfalfa silage	USA: Davis, California		uncertain	
GCF_003149795.1	Bacillus amyloliquefaciens	Complete Genome	current	3982905	1	SAMN08984036	grape	USA: Berkeley, California		uncertain	
GCF_003160715.1	Bacillus altitudinis	Contig	current	3688424	130	SAMN08010940	leaf	India:Imphal west district	Black rice	uncertain	
GCF_003217715.1	Bacillus altitudinis	Contig	current	3865054	43	SAMN08384444	soil	Netherlands		non_saline_candidate	
GCF_003284495.1	Bacillus altitudinis	Contig	current	3746010	28	SAMN08995360	saliva	Russia:East Siberia	bear	uncertain	
GCF_003312895.1	Bacillus amyloliquefaciens	Complete Genome	current	4103824	2	SAMN09428134		China		uncertain	
GCF_003337795.1	Bacillus amyloliquefaciens	Scaffold	current	3922513	26	SAMN09063492	missing	Italy	not applicable	uncertain	
GCF_003382375.1	Bacillus amyloliquefaciens	Contig	current	3947065	26	SAMN08399261	soil	Japan		non_saline_candidate	
GCF_003546075.1	Bacillus amyloliquefaciens	Contig	current	3792988	77	SAMN09839534	Unknown	Unknown		uncertain	
GCF_003868675.1	Bacillus amyloliquefaciens	Complete Genome	current	4009619	1	SAMN09939790	rhizosphere of Lolium perenne L. on a rock phosphorus mine	China: Guizhou		non_saline_candidate	
GCF_004006115.1	Bacillus amyloliquefaciens	Complete Genome	current	4002836	1	SAMN06169656	Corn stalk residue compost	China		uncertain	
GCF_004116025.1	Bacillus albus	Contig	current	5894466	48	SAMN10782928	phosphogypsum piles	Tunisia: Gafsa		uncertain	
GCF_004116035.1	Bacillus albus	Contig	current	5895657	48	SAMN10782924	phosphogypsum piles	Tunisia: Gafsa		uncertain	
GCF_004116065.1	Bacillus albus	Contig	current	5893508	43	SAMN10782923	phosphogypsum piles	Tunisia: Gafsa		uncertain	
GCF_004116085.1	Bacillus albus	Contig	current	5895808	52	SAMN10782925	phosphogypsum piles	Tunisia: Gafsa		uncertain	
GCF_004116415.1	Bacillus albus	Contig	current	5895319	45	SAMN10782926	phosphogypsum piles	Tunisia: Gafsa		uncertain	
GCF_004153665.1	Bacillus albus	Contig	current	6456746	477	SAMN10824118		USA:TX, Galveston, East Beach		uncertain	
GCF_004421045.1	Bacillus amyloliquefaciens	Complete Genome	current	4240930	1	SAMN10862242	Food processing environment	USA:MD		exclude_review	food
GCF_004563755.2	Bacillus altitudinis	Complete Genome	current	3867833	1	SAMN10857349	rhizosphere soil	Malaysia: Cameron Highlan	Solanum lycopersicum	non_saline_candidate	
GCF_004804235.1	Bacillus amyloliquefaciens	Contig	current	3882439	14	SAMN11394172		China	Oryza sativa	uncertain	
GCF_004804245.1	Bacillus amyloliquefaciens	Contig	current	3883546	15	SAMN11394168	seed	China	Oryza sativa	uncertain	
GCF_005048195.1	Bacillus amyloliquefaciens	Contig	current	3979730	78	SAMN11477538	horse manure	USA:New Hampshire, Nottingham		uncertain	
GCF_005849435.1	Bacillus altitudinis	Complete Genome	current	3891368	2	SAMN11534966	Lycium barbarum rhizosphere soil	China:Ningxia Hui Autonomous Region		non_saline_candidate	
GCF_006007905.1	Bacillus altitudinis	Complete Genome	current	3716092	3	SAMN11621488	ocean sediment	not collected		uncertain	
GCF_007362635.1	Bacillus amyloliquefaciens	Complete Genome	current	4064151	1	SAMN11843976		China:Hangzhou	Morus alba L.	uncertain	
GCF_007671735.1	Bacillus altitudinis	Scaffold	current	3691136	25	SAMN11792757	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007676435.1	Bacillus altitudinis	Scaffold	current	3778594	136	SAMN11792546	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007676515.1	Bacillus altitudinis	Scaffold	current	3731520	112	SAMN11792526	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007681095.1	Bacillus altitudinis	Contig	current	3723350	77	SAMN11792495	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007681245.1	Bacillus altitudinis	Scaffold	current	4181571	1783	SAMN11792451	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007681315.1	Bacillus altitudinis	Scaffold	current	3764965	42	SAMN11792450	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007681345.1	Bacillus altitudinis	Scaffold	current	4226731	1870	SAMN11792444	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007681425.1	Bacillus altitudinis	Scaffold	current	3688696	41	SAMN11792425	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007681435.1	Bacillus altitudinis	Scaffold	current	3765631	42	SAMN11792428	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007682105.1	Bacillus altitudinis	Scaffold	current	3916682	42	SAMN11792250	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_007827165.1	Bacillus amyloliquefaciens	Complete Genome	current	3954391	1	SAMN12284742	missing	USA		uncertain	
GCF_007844995.1	Bacillus amyloliquefaciens	Scaffold	current	3953074	13	SAMN10779590	Ropy Bread	Germany		uncertain	
GCF_007845085.1	Bacillus amyloliquefaciens	Scaffold	current	3952837	10	SAMN10779589	Ropy Bread	Germany		uncertain	
GCF_007923025.1	Bacillus altitudinis	Chromosome	current	3748650	39	SAMN09837227	sludge	China		uncertain	
GCF_007923205.1	Bacillus amyloliquefaciens	Complete Genome	current	3952640	1	SAMN11843773	peanut land	China: henan		uncertain	
GCF_008017555.1	Bacillus amyloliquefaciens	Contig	current	4009752	14	SAMN12561568	Daqu	China:Shanxi		uncertain	
GCF_008017565.1	Bacillus amyloliquefaciens	Contig	current	4046183	16	SAMN12561569	Daqu	China:Shanxi		uncertain	
GCF_008017625.1	Bacillus amyloliquefaciens	Contig	current	4017974	22	SAMN12561566	Ropy Bread	Germany		uncertain	
GCF_008180475.1	Bacillus altitudinis	Scaffold	current	3826387	57	SAMN12612709	sediment	Mexico: desert of Cuatro Cienegas, Coahuila		uncertain	
GCF_008534375.1	Bacillus amyloliquefaciens	Complete Genome	current	3993985	1	SAMN12257600	oyster	China: Fujian, Xiapu Sea		uncertain	
GCF_008764185.1	Bacillus altitudinis	Scaffold	current	3703847	28	SAMN11792411	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_008808015.1	Bacillus amyloliquefaciens	Complete Genome	current	3904474	1	SAMN12794366	grape plant	missing		non_saline_candidate	
GCF_008824205.1	Bacillus amyloliquefaciens	Complete Genome	current	4118763	1	SAMN12860423	soil	South Korea		non_saline_candidate	
GCF_009183655.1	Bacillus aerolatus	Contig	current	3929195	33	SAMN12993151	air in sports field	China: Guangzhou, Guangodng		uncertain	
GCF_009740005.1	Bacillus albus	Complete Genome	current	5855605	3	SAMN10739311	missing	China: Liaoning, Yingkou	Apostichopus japonicus	uncertain	
GCF_009933355.1	Bacillus amyloliquefaciens	Scaffold	current	4187606	48	SAMN06163185		India: Ramanathapuram, Tamil Nadu	Algae	uncertain	
GCF_010747395.1	Bacillus altitudinis	Contig	current	3684860	54	SAMN14083405	mining residue	Portugal		uncertain	
GCF_011067205.1	Bacillus altitudinis	Chromosome	current	4041532	30	SAMN14064719	Hot spring microbial mat	Mexico:Michoacan,Zimirao		uncertain	
GCF_011440355.1	Bacillus amyloliquefaciens	Contig	current	4405867	920	SAMN14209461	soil	India		non_saline_candidate	
GCF_011751575.1	Bacillus albus	Scaffold	current	5371297	79	SAMN13864946	Soybean rhizosphere soil	China:hebei		non_saline_candidate	
GCF_011751595.1	Bacillus albus	Scaffold	current	5760676	107	SAMN13865276	Soybean rhizosphere soil	China:hebei		non_saline_candidate	
GCF_011754125.1	Bacillus amyloliquefaciens	Contig	current	4113229	11	SAMN13405460	rhizosphere soil	India: Coimbatore		non_saline_candidate	
GCF_012844145.1	Bacillus altitudinis	Contig	current	3868742	34	SAMN14558242	feces	Germany	Sus scrofa domesticus	exclude_review	feces
GCF_013122255.1	Bacillus amyloliquefaciens	Complete Genome	current	4026648	1	SAMN14897115	soil	Taiwan: Taichung		non_saline_candidate	
GCF_013131835.1	Bacillus altitudinis	Contig	current	3883973	46	SAMN11964575	jute-retting water	India: West Bengal		uncertain	
GCF_013283915.1	Bacillus altitudinis	Complete Genome	current	3879167	1	SAMN15053797	potato plant	Belarus: Babruysk District		non_saline_candidate	
GCF_013307105.1	Bacillus altitudinis	Complete Genome	current	3755707	1	SAMN10743464		China:Chengdu	missing	uncertain	
GCF_013328835.1	Bacillus amyloliquefaciens	Complete Genome	current	4006790	1	SAMN15097872	soil	China		non_saline_candidate	
GCF_013341255.1	Bacillus amyloliquefaciens	Complete Genome	current	4016228	2	SAMN15143286	banana	Taiwan: Changhua		uncertain	
GCF_013346105.1	Bacillus amyloliquefaciens	Contig	current	3911623	50	SAMN15163234		USA: International Space Station		uncertain	
GCF_013346165.1	Bacillus amyloliquefaciens	Contig	current	3913266	52	SAMN15163232		USA: International Space Station		uncertain	
GCF_013346175.1	Bacillus amyloliquefaciens	Contig	current	4226458	66	SAMN15163233		USA: International Space Station		uncertain	
GCF_013346205.1	Bacillus amyloliquefaciens	Contig	current	3911884	54	SAMN15163230		USA: International Space Station		uncertain	
GCF_013346215.1	Bacillus amyloliquefaciens	Contig	current	3911592	52	SAMN15163229		USA: International Space Station		uncertain	
GCF_013346225.1	Bacillus amyloliquefaciens	Contig	current	3911361	50	SAMN15163231		USA: International Space Station		uncertain	
GCF_013346265.1	Bacillus amyloliquefaciens	Contig	current	3912313	55	SAMN15163228		USA: International Space Station		uncertain	
GCF_013346285.1	Bacillus amyloliquefaciens	Contig	current	3913332	52	SAMN15163227		USA: International Space Station		uncertain	
GCF_013346305.1	Bacillus amyloliquefaciens	Contig	current	3911494	50	SAMN15163226		USA: International Space Station		uncertain	
GCF_013391605.1	Bacillus altitudinis	Scaffold	current	3794141	37	SAMN15318238	roots	Argentina: Misiones	Ilex paraguariensis	non_saline_candidate	
GCF_013391615.1	Bacillus altitudinis	Scaffold	current	3737950	48	SAMN15320438	roots	Argentina: Misiones	Ilex paraguariensis	non_saline_candidate	
GCF_013423695.1	Bacillus amyloliquefaciens	Contig	current	3930796	43	SAMN14929116	soil	China:Guangdong		non_saline_candidate	
GCF_014138805.1	Bacillus aerius	Scaffold	current	3702275	13	SAMN14908260	missing	USA: Texas	not applicable	uncertain	
GCF_014622745.1	Bacillus amyloliquefaciens	Complete Genome	current	4036119	1	SAMN15951545		China: Nanjing, Jiangsu	healthy tomato plant at flowering stage	non_saline_candidate	
GCF_014791945.1	Bacillus amyloliquefaciens	Complete Genome	current	4023066	1	SAMN16218600	Almond orchard	USA:California		uncertain	
GCF_014792065.1	Bacillus amyloliquefaciens	Complete Genome	current	3964430	1	SAMN16218602	Almond orchard	USA:California		uncertain	
GCF_014840205.2	Bacillus amyloliquefaciens	Contig	current	4000885	97	SAMN16221222	pickles	China		uncertain	
GCF_014854735.1	Bacillus amyloliquefaciens	Complete Genome	current	4037030	2	SAMN09217686	soil	China		non_saline_candidate	
GCF_014926245.2	Bacillus albus	Scaffold	current	5843889	78	SAMN14829702	duodenum biopsy	India: AIIMS, Delhi	Homo sapiens	uncertain	
GCF_014930895.1	Bacillus amyloliquefaciens	Complete Genome	current	3847565	1	SAMN16393503	litchi pericarp	China: Guangzhou		uncertain	
GCF_015160895.1	Bacillus altitudinis	Complete Genome	current	3763717	1	SAMN16494637	grapevine phylloplane	Belarus: Minsk Region		uncertain	
GCF_015620945.1	Bacillus albus	Contig	current	5965175	156	SAMN16746851	soil	Mexico		non_saline_candidate	
GCF_015689015.1	Bacillus altitudinis	Complete Genome	current	3718493	1	SAMN16824743	rhizosphere	China	Citrus reticulata	non_saline_candidate	
GCF_015845485.1	Bacillus amyloliquefaciens	Scaffold	current	3913845	29	SAMN03654318	soil	USA		non_saline_candidate	
GCF_015846075.1	Bacillus altitudinis	Scaffold	current	3738947	17	SAMN03731128	Pit mud	China		uncertain	
GCF_015880875.1	Bacillus amyloliquefaciens	Contig	current	4155772	37	SAMN03651974	maybe soil	China		non_saline_candidate	
GCF_015999565.1	Bacillus amyloliquefaciens	Complete Genome	current	3915550	1	SAMN16976109	soil	China:Qinghai		non_saline_candidate	
GCF_016767855.1	Bacillus altitudinis	Complete Genome	current	3741767	1	SAMN17313277	soil	China:Longyan		non_saline_candidate	
GCF_016807685.1	Bacillus altitudinis	Complete Genome	current	3781168	2	SAMN17574861	rot potato tubers	Belarus: Minsk Region, Chervyen District		uncertain	
GCF_017161205.1	Bacillus altitudinis	Complete Genome	current	3729040	1	SAMN16930279	Soil samples of chilli in Haidian Harbor Garden, Haikou city, Hainan Province, China	China: Haidian Harbor Garden, Haikou city, Hainan Province		non_saline_candidate	
GCF_017357905.1	Bacillus amyloliquefaciens	Complete Genome	current	3976083	1	SAMN16868982	missing	China:Beibu Gulf	Sipunculus nudus L.	uncertain	
GCF_017592865.1	Bacillus amyloliquefaciens	Contig	current	3953264	54	SAMN18311133		Brazil:Mato Grosso, Primavera do Leste		uncertain	
GCF_017603845.1	Bacillus amyloliquefaciens	Complete Genome	current	4439505	3	SAMN18346328		China:Jingzhong	catalpa	uncertain	
GCF_017815555.1	Bacillus amyloliquefaciens	Complete Genome	current	3929653	1	SAMN18579264	soil	South Korea		non_saline_candidate	
GCF_017824715.1	Bacillus amyloliquefaciens	Scaffold	current	4013009	53	SAMN18153428	seeds	Brazil	soybean	uncertain	
GCF_017948365.1	Bacillus altitudinis	Complete Genome	current	3804206	1	SAMN18642715	soil	China:Shandong		non_saline_candidate	
GCF_017948535.1	Bacillus amyloliquefaciens	Scaffold	current	3979503	24	SAMN18092518	soil	China: Henan		non_saline_candidate	
GCF_018128525.1	Bacillus altitudinis C16B11	Contig	current	3675079	49	SAMN14531921	Bottom water	Pacific Ocean		uncertain	
GCF_018128565.1	Bacillus altitudinis S70-5-12	Contig	current	3641582	62	SAMN14531069	marine surface water	Indian Ocean		uncertain	
GCF_018128575.1	Bacillus altitudinis C101	Contig	current	3670386	28	SAMN14531959	sediment	Arctic Ocean		uncertain	
GCF_018128585.1	Bacillus altitudinis	Contig	current	3673513	86	SAMN14531601	Bottom water	China:South sea		uncertain	
GCF_018128625.1	Bacillus altitudinis MN12	Contig	current	3679259	33	SAMN14558163	marine sediment	Pacific Ocean		saline_candidate	marine sediment
GCF_018128635.1	Bacillus altitudinis A23-8	Contig	current	3835941	78	SAMN14556211	marine sediment	Indian Ocean		saline_candidate	marine sediment
GCF_018223605.1	Bacillus amyloliquefaciens	Complete Genome	current	3861210	1	SAMN18839283	soil	China:Yangling		non_saline_candidate	
GCF_018361385.1	Bacillus altitudinis	Contig	current	3898625	2	SAMN13425625	Plastic house	South Korea: Daegeon		uncertain	
GCF_018363035.1	Bacillus amyloliquefaciens	Complete Genome	current	3933788	1	SAMN19035411	soil	France: Gers		non_saline_candidate	
GCF_018916635.1	Bacillus albus	Contig	current	6043853	64	SAMN19374087	feces	China: Suzhou	Macaca fascicularis	exclude_review	feces
GCF_019036945.1	Bacillus altitudinis	Contig	current	3703577	23	SAMN19102898	cleanroom floor	USA: California, Pasadena, JPL, Building 179		uncertain	
GCF_019037255.1	Bacillus altitudinis	Scaffold	current	3754660	33	SAMN19102897	cleanroom floor	USA: California, Pasadena, JPL, Building 179		uncertain	
GCF_019037745.1	Bacillus altitudinis	Contig	current	3754669	27	SAMN19102896	cleanroom floor	USA: California, Pasadena, JPL, Building 179		uncertain	
GCF_019149285.1	Bacillus altitudinis	Contig	current	3704300	30	SAMN19728557	Dye pond	Nigeria: Lagos		uncertain	
GCF_019164215.1	Bacillus altitudinis	Complete Genome	current	3763082	1	SAMN19072201	rice rhizosphere soil	China: Heilongjiang Province	missing	non_saline_candidate	
GCF_019311265.1	Bacillus altitudinis	Contig	current	3705556	26	SAMN19549426	Dye pond	Nigeria: Lagos		uncertain	
GCF_019355135.1	Bacillus altitudinis	Complete Genome	current	3755290	1	SAMN14089888		China: Chengdu		uncertain	
GCF_019396925.1	Bacillus amyloliquefaciens	Complete Genome	current	4149690	2	SAMN18435563		China: Nanning	Banana	uncertain	
GCF_020521575.1	Bacillus altitudinis	Contig	current	3778259	32	SAMD00406398		not applicable		uncertain	
GCF_021654595.1	Bacillus altitudinis	Complete Genome	current	3681563	2	SAMD00396525		Japan	Tetragnatha maxillosa	uncertain	
GCF_021654615.1	Bacillus altitudinis	Complete Genome	current	3715529	1	SAMD00396574		Japan	Trichonephila clavata	uncertain	
GCF_022570695.1	Bacillus altitudinis	Complete Genome	current	3727518	1	SAMN26499422	Fertile soil	China: Shandong, Qingdao		non_saline_candidate	
GCF_022700755.1	Bacillus altitudinis	Complete Genome	current	3937910	1	SAMN16580015	Soil in tiger area of zoo	China:zhengzhou		non_saline_candidate	
GCF_022803025.1	Bacillus altitudinis	Contig	current	3824497	79	SAMN17910427	leaf	Germany:Tuebingen	Arabodopsis thaliana	uncertain	
GCF_022819205.1	Bacillus altitudinis	Chromosome	current	3767351	91	SAMN27065537	paddy rhizosphere	Malaysia		non_saline_candidate	
GCF_023373945.1	Bacillus altitudinis	Contig	current	3700056	55	SAMN06209282	compost	Malaysia		uncertain	
GCF_023502445.1	Bacillus altitudinis	Contig	current	3788883	17	SAMN24804914	feces	China: Yunnan	bat	exclude_review	feces
GCF_023525275.1	Bacillus altitudinis	Contig	current	3648564	48	SAMN18806094	missing	Morocco: Asni Region	Pear tree	uncertain	
GCF_023554815.1	Bacillus altitudinis	Contig	current	3801811	17	SAMN26365749	sediment	Malaysia: Balok, Pahang		uncertain	
GCF_023714045.1	Bacillus altitudinis	Contig	current	3705254	79	SAMN27921996	Cleanroom	USA		uncertain	
GCF_023714595.1	Bacillus altitudinis	Contig	current	3712377	33	SAMN27921963	Cleanroom	USA		uncertain	
GCF_023714945.1	Bacillus altitudinis	Contig	current	3714328	46	SAMN27921944	Cleanroom	USA		uncertain	
GCF_023714965.1	Bacillus altitudinis	Contig	current	3727933	75	SAMN27921943	Cleanroom	USA		uncertain	
GCF_023823755.1	Bacillus altitudinis	Complete Genome	current	3762948	1	SAMN22304396	soil	China		non_saline_candidate	
GCF_024134705.1	Bacillus altitudinis	Chromosome	current	3749596	1	SAMN29043844	Clean room	USA: Texas		uncertain	
GCF_024262145.1	Bacillus altitudinis	Scaffold	current	3714049	13	SAMN29198483	mangrove soil	Philippines: Palawan		saline_candidate	mangrove
GCF_024362715.1	Bacillus altitudinis	Complete Genome	current	3951520	1	SAMN29636746	diseased muskmelon fruit	China:Anhui	plant	non_saline_candidate	
GCF_024380035.1	Bacillus altitudinis	Complete Genome	current	3825696	2	SAMN29751147	soil	USA:Tenesee		non_saline_candidate	
GCF_024397295.1	Bacillus altitudinis	Complete Genome	current	3811827	1	SAMN29628484	TNT red soil	China: Gansu		non_saline_candidate	
GCF_024507855.1	Bacillus altitudinis	Complete Genome	current	3762968	2	SAMN29939565	missing	missing		uncertain	
GCF_026065915.1	Bacillus altitudinis	Contig	current	3806151	51	SAMN20691897	Garden soil	India: Maharashtra		non_saline_candidate	
GCF_026786505.1	Bacillus altitudinis	Scaffold	current	3731239	119	SAMN25520155	not collected	USA: Phoenix	not collected	uncertain	
GCF_026786605.1	Bacillus altitudinis	Scaffold	current	3739203	123	SAMN25520151	not collected	not collected	not collected	uncertain	
GCF_026786615.1	Bacillus altitudinis	Scaffold	current	3738788	109	SAMN25520150	missing	New Zealand	Apis sp.	uncertain	
GCF_026786855.1	Bacillus altitudinis	Scaffold	current	3711784	40	SAMN25520139	soil	Canada: Grand Nord		non_saline_candidate	
