Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_022808405.1	Bacillus cereus	Contig	current	5763557	45	SAMN12777282	intraocular	China: Wenzhou, Eye hospital		exclude_review	hospital
GCF_023969475.1	Bacillus cereus	Contig	current	5279040	35	SAMN18917998	food	Thailand:Pathumthani		exclude_review	food
GCF_029477005.1	Bacillus cereus	Contig	current	5894977	64	SAMN33794208	feces	Slovenia		exclude_review	feces
GCF_029477025.1	Bacillus cereus	Contig	current	5760656	49	SAMN33794211	feces	Slovenia		exclude_review	feces
GCF_029477125.1	Bacillus cereus	Contig	current	5965703	338	SAMN33794209	feces	Slovenia		exclude_review	feces
GCF_029477365.1	Bacillus cereus	Contig	current	5337444	42	SAMN33794242	Cottage cheese	Slovenia		exclude_review	cheese
GCF_029477395.1	Bacillus cereus	Contig	current	5713945	436	SAMN33794217	Wound smear	Slovenia		exclude_review	wound
GCF_029477525.1	Bacillus cereus	Contig	current	5913121	587	SAMN33794243	Milk from the udder of a cow with mastitis	Slovenia		exclude_review	milk
GCF_029477605.1	Bacillus cereus	Contig	current	5913047	64	SAMN33794250	UHT milk	Slovenia		exclude_review	milk
GCF_029477615.1	Bacillus cereus	Contig	current	5668660	136	SAMN33794248	Raw bulk milk	Slovenia		exclude_review	milk
GCF_029477625.1	Bacillus cereus	Contig	current	5254407	94	SAMN33794226	blood	Slovenia		exclude_review	blood
GCF_029477705.1	Bacillus cereus	Contig	current	5942026	102	SAMN33794231	feces	Slovenia		exclude_review	feces
GCF_029477715.1	Bacillus cereus	Contig	current	5341713	43	SAMN33794228	feces	Slovenia		exclude_review	feces
GCF_029477885.1	Bacillus cereus	Contig	current	6313163	90	SAMN33794229	feces	Slovenia		exclude_review	feces
GCF_029478935.1	Bacillus cereus	Contig	current	5978238	152	SAMN33794271	Raw bulk milk	Slovenia		exclude_review	milk
GCF_029479035.1	Bacillus cereus	Contig	current	5978797	148	SAMN33794258	Raw bulk milk	Slovenia		exclude_review	milk
GCF_029479275.1	Bacillus cereus	Contig	current	5963197	114	SAMN33794245	Raw bulk milk	Slovenia		exclude_review	milk
GCF_029479355.1	Bacillus cereus	Contig	current	6124807	66	SAMN33794240	Pasteurized milk	Slovenia		exclude_review	milk
GCF_029479465.1	Bacillus cereus	Contig	current	5240612	432	SAMN33794218	Wound smear	Slovenia		exclude_review	wound
GCF_029537515.1	Bacillus cereus	Contig	current	5721601	161	SAMN33794268	feces	Slovenia		exclude_review	feces
GCF_029537545.1	Bacillus cereus	Contig	current	5709214	145	SAMN33794269	Pasteurized milk	Slovenia		exclude_review	milk
GCF_029537665.1	Bacillus cereus	Contig	current	6103480	324	SAMN33794227	feces	Slovenia		exclude_review	feces
GCF_029537695.1	Bacillus cereus	Contig	current	5577839	150	SAMN33794241	Pasteurized milk	Slovenia		exclude_review	milk
GCF_030064245.1	Bacillus cereus	Complete Genome	current	5702443	1	SAMN31100431	Food Waste	Hong Kong: Institute for Bioresource and Agriculture, Hong Kong Baptist University		exclude_review	food
GCF_030222585.1	Bacillus cereus	Contig	current	5524149	47	SAMN31810241	Vitamin B2 food additive	Belgium		exclude_review	food
GCF_030222595.1	Bacillus cereus	Contig	current	5529837	54	SAMN31810240	Vitamin B2 food additive	Belgium		exclude_review	food
GCF_030270005.1	Bacillus cereus	Contig	current	5572927	5	SAMD00593297	blood	Japan:Tokyo, Hongo	Homo sapiens	exclude_review	blood
GCF_036851375.1	Bacillus cereus	Contig	current	5629630	4	SAMN18108451	blood culture	France: Nimes	Homo sapiens	exclude_review	blood
GCF_036851395.1	Bacillus cereus	Contig	current	5931487	4	SAMN18108453	blood culture	France: Bordeaux	Homo sapiens	exclude_review	blood
GCF_036851495.1	Bacillus cereus	Contig	current	5935439	4	SAMN18108445	blood culture	France: Tours	Homo sapiens	exclude_review	blood
GCF_036851555.1	Bacillus cereus	Contig	current	6057562	11	SAMN18108441	blood culture	France: Nantes	Homo sapiens	exclude_review	blood
GCF_036851835.1	Bacillus cereus	Contig	current	5968341	7	SAMN18108427	blood culture	France: Besancon	Homo sapiens	exclude_review	blood
GCF_036873205.1	Bacillus cereus	Scaffold	current	5630474	4	SAMN18108433	blood culture	France: Nice	Homo sapiens	exclude_review	blood
GCF_041199465.1	Bacillus cereus	Contig	current	5598731	73	SAMN40264135	food	Brazil		exclude_review	food
GCF_041223645.1	Bacillus cereus	Scaffold	current	5240152	108	SAMN40593588	Feces of SPF mouse	China: Guangzhou	Mus musculus	exclude_review	feces
GCF_041879445.1	Bacillus cereus	Complete Genome	current	5830992	1	SAMN42613241	Milk powder factory	China:Harbin		exclude_review	milk
GCF_042137675.1	Bacillus cereus	Contig	current	5456327	54	SAMN43782005	food: Tahin Helva	Switzerland		exclude_review	food
GCF_042137695.1	Bacillus cereus	Contig	current	5573942	73	SAMN43782001	food: Sesame seeds	Switzerland		exclude_review	food
GCF_042137755.1	Bacillus cereus	Contig	current	6467455	362	SAMN43782000	food: Hummus	Switzerland		exclude_review	food
GCF_042137775.1	Bacillus cereus	Contig	current	5362707	43	SAMN43782002	food: Sesame seeds	Switzerland		exclude_review	food
GCF_042137795.1	Bacillus cereus	Contig	current	6026054	69	SAMN43781997	food: Hummus	Switzerland		exclude_review	food
GCF_042137855.1	Bacillus cereus	Contig	current	6055769	169	SAMN43781996	food: Sesame seeds	Switzerland		exclude_review	food
GCF_042139045.1	Bacillus cereus	Contig	current	5379486	66	SAMN43781999	food: Hummus	Switzerland		exclude_review	food
GCF_046575485.1	Bacillus cereus	Contig	current	5631595	27	SAMN37915815	food	Thailand: Pathumthani		exclude_review	food
GCF_046575525.1	Bacillus cereus	Contig	current	5712866	127	SAMN37915811	food	Thailand: Pathumthani		exclude_review	food
GCF_046575545.1	Bacillus cereus	Contig	current	5856371	58	SAMN37915814	food	Thailand: Pathumthani		exclude_review	food
GCF_046576245.1	Bacillus cereus	Contig	current	5437995	64	SAMN37915809	food	Thailand: Pathumthani		exclude_review	food
GCF_046576285.1	Bacillus cereus	Contig	current	5221584	37	SAMN37915808	food	Thailand: Pathumthani		exclude_review	food
GCF_046576365.1	Bacillus cereus	Contig	current	5378133	43	SAMN37915801	food	Thailand: Pathumthani		exclude_review	food
GCF_046576405.1	Bacillus cereus	Contig	current	6152935	104	SAMN37915799	food	Thailand: Pathumthani		exclude_review	food
GCF_046576425.1	Bacillus cereus	Contig	current	5951707	65	SAMN37915800	food	Thailand: Pathumthani		exclude_review	food
GCF_046576485.1	Bacillus cereus	Contig	current	6378095	258	SAMN37915794	food	Thailand: Pathumthani		exclude_review	food
GCF_046576505.1	Bacillus cereus	Contig	current	5880551	34	SAMN37915797	food	Thailand: Pathumthani		exclude_review	food
GCF_046576545.1	Bacillus cereus	Contig	current	5262391	30	SAMN37915796	food	Thailand: Pathumthani		exclude_review	food
GCF_046576565.1	Bacillus cereus	Contig	current	5344844	39	SAMN37915793	food	Thailand: Pathumthani		exclude_review	food
GCF_047469075.1	Bacillus cereus	Contig	current	5699591	184	SAMN46403144	Hospital wastewater	Bangladesh:Dhaka		exclude_review	hospital
GCF_049904065.1	Bacillus cereus	Complete Genome	current	5449758	2	SAMN26850376	blood	USA: TX, San Antonio	Homo sapiens	exclude_review	blood
GCF_050379695.1	Bacillus cereus	Contig	current	6480582	442	SAMN48388845	food: frozen berries	Switzerland		exclude_review	food
GCF_050379715.1	Bacillus cereus	Contig	current	5635736	82	SAMN48388844	food: frozen berries	Switzerland		exclude_review	food
GCF_050379735.1	Bacillus cereus	Contig	current	6020286	648	SAMN48388841	food: frozen berries	Switzerland		exclude_review	food
GCF_050379755.1	Bacillus cereus	Contig	current	6435690	446	SAMN48388838	food: frozen berries	Switzerland		exclude_review	food
GCF_050379775.1	Bacillus cereus	Contig	current	6482034	429	SAMN48388837	food: frozen berries	Switzerland		exclude_review	food
GCF_050379815.1	Bacillus cereus	Contig	current	6482301	431	SAMN48388835	food: frozen berries	Switzerland		exclude_review	food
GCF_050379835.1	Bacillus cereus	Contig	current	5492683	88	SAMN48388833	food: frozen berries	Switzerland		exclude_review	food
GCF_050379855.1	Bacillus cereus	Contig	current	6495159	448	SAMN48388832	food: frozen berries	Switzerland		exclude_review	food
GCF_050379875.1	Bacillus cereus	Contig	current	5683685	60	SAMN48396338	food: frozen berries	Switzerland		exclude_review	food
GCF_050379915.1	Bacillus cereus	Contig	current	6485938	459	SAMN48388831	food: frozen berries	Switzerland		exclude_review	food
GCF_050627635.1	Bacillus cereus	Contig	current	6317943	202	SAMN43795230	Beef hamburger with cheese, tomato tapenade, tartar sauce, salad, tomato	Belgium: Brussels		exclude_review	cheese
GCF_050627975.1	Bacillus cereus	Contig	current	5596359	72	SAMN43795212	milk	Belgium: Brussels		exclude_review	milk
GCF_050628095.1	Bacillus cereus	Contig	current	5367643	38	SAMN43795207	Sauce with ham and cheese	Belgium: Brussels		exclude_review	cheese
GCF_050628605.1	Bacillus cereus	Contig	current	5402982	42	SAMN43795182	cheese	Belgium: Brussels		exclude_review	cheese
GCF_050630045.1	Bacillus cereus	Contig	current	6205753	72	SAMN43795108	Milk powder	Belgium: Louvain-La-Neuve		exclude_review	milk
GCF_050630385.1	Bacillus cereus	Contig	current	5545160	60	SAMN43795096	Pasteurized milk	Belgium: Ghent		exclude_review	milk
GCF_052071155.1	Bacillus cereus	Scaffold	current	5867693	148	SAMN50549431	Activated sludge from hospital wastewater treatment system	Philippines: Laguna		exclude_review	hospital
GCF_052373755.1	Bacillus cereus	Contig	current	5132550	39	SAMN47301816	soil	Bangladesh: BSCIC Tannery industrial State, Hemayetpur, Savar, Dhaka		exclude_review	industrial
GCF_054174245.1	Bacillus cereus	Contig	current	5601345	91	SAMN53840582	food: icre cream/sorbet	Switzerland		exclude_review	food
GCF_054174265.1	Bacillus cereus	Contig	current	5524602	81	SAMN53840579	food: icre cream/sorbet	Switzerland		exclude_review	food
